benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,5,11.843261852945286,1709818884.653,1709818949.5
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,7,11.638303381173541,1709818884.653,1709818950.642
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,0,11.99231744236762,1709818884.653,1709818948.694
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,6,11.698222456951493,1709818884.653,1709818950.304
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,9,12.258775094017862,1709818884.653,1709818947.302
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,2,11.5893040578286,1709818884.667,1709818950.935
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,8,11.78564855449772,1709818884.653,1709818949.817
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,1,12.055947161774887,1709818884.653,1709818948.356
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,3,11.734327512836714,1709818884.653,1709818950.102
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,11,11.669072432035463,1709818884.653,1709818950.468
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,10,11.60681900917731,1709818884.665,1709818950.833
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,0,4,11.887624837202882,1709818884.653,1709818949.258
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,20,11.567136082846986,1709818884.651,1709818951.046
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,13,11.657736161756477,1709818884.651,1709818950.53
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,19,11.638832468851302,1709818884.651,1709818950.637
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,17,11.547483027445631,1709818884.664,1709818951.172
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,23,11.583885122140174,1709818884.651,1709818950.95
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,22,11.61401543869453,1709818884.652,1709818950.779
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,15,11.548872180451127,1709818884.651,1709818951.151
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,12,11.783117007497056,1709818884.651,1709818949.829
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,21,11.830491232583434,1709818884.651,1709818949.568
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,18,11.896279298557015,1709818884.651,1709818949.209
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,16,11.69768787106397,1709818884.651,1709818950.305
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,1,14,11.733431112609765,1709818884.651,1709818950.105
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,126,12.04328054304073,1709818884.494,1709818948.264
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,121,12.234754334574305,1709818884.49,1709818947.262
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,125,12.171735604167557,1709818884.49,1709818947.587
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,127,12.443493879390362,1709818884.49,1709818946.209
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,129,12.88439279987169,1709818884.49,1709818944.097
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,130,12.370536228665703,1709818884.49,1709818946.573
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,120,12.746041767457777,1709818884.49,1709818944.744
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,124,12.892611927785055,1709818884.49,1709818944.059
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,123,12.830793916821008,1709818884.49,1709818944.346
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,122,12.957651429848955,1709818884.489,1709818943.759
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,131,12.603387137813016,1709818884.49,1709818945.426
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,10,128,12.918201549516638,1709818884.489,1709818943.94
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,140,12.726399017029753,1709818884.489,1709818944.836
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,138,12.605662709907014,1709818884.49,1709818945.415
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,135,11.881555739101247,1709818884.491,1709818949.129
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,141,12.449141693115022,1709818884.489,1709818946.18
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,134,11.940855466636616,1709818884.493,1709818948.81
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,136,12.218015201097963,1709818884.49,1709818947.348
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,133,12.118534400884554,1709818884.49,1709818947.864
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,137,12.728086315151698,1709818884.489,1709818944.828
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,132,12.77806433872713,1709818884.49,1709818944.593
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,139,12.675149757960934,1709818884.49,1709818945.081
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,143,12.33318882190967,1709818884.49,1709818946.761
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,11,142,12.018403189196041,1709818884.49,1709818948.392
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,150,12.446317169590449,1709818884.581,1709818946.286
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,148,12.694634552984258,1709818884.581,1709818945.079
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,152,12.023483365949119,1709818884.593,1709818948.468
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,155,12.938441313416211,1709818884.58,1709818943.938
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,154,12.93560828239101,1709818884.58,1709818943.951
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,153,12.907129203572957,1709818884.581,1709818944.083
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,145,12.799786685683888,1709818884.581,1709818944.582
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,151,12.206169854801043,1709818884.582,1709818947.501
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,144,12.523236478989666,1709818884.581,1709818945.907
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,149,12.966183260327682,1709818884.581,1709818943.812
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,147,12.30512876515216,1709818884.581,1709818946.994
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,12,146,12.107835441879988,1709818884.591,1709818948.021
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,156,11.986141001961947,1709818884.579,1709818948.653
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,167,12.627840425737224,1709818884.579,1709818945.397
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,162,12.146325244555042,1709818884.579,1709818947.808
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,166,12.047814755114935,1709818884.579,1709818948.325
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,160,12.274645170695992,1709818884.579,1709818947.147
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,163,12.82243927280355,1709818884.579,1709818944.474
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,161,12.379110259062308,1709818884.579,1709818946.619
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,158,12.85312623508411,1709818884.579,1709818944.331
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,159,12.724501303591385,1709818884.579,1709818944.935
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,165,12.511199806456236,1709818884.579,1709818945.964
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,157,12.870142254420923,1709818884.579,1709818944.252
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,13,164,12.846246504568034,1709818884.579,1709818944.363
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,173,12.796800777431677,1709818884.579,1709818944.594
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,172,13.023571301125871,1709818884.579,1709818943.549
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,177,12.670967303404094,1709818884.579,1709818945.19
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,170,12.847320956128417,1709818884.579,1709818944.358
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,168,12.036296972765589,1709818884.579,1709818948.386
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,179,12.316574448962873,1709818884.579,1709818946.934
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,174,12.517929326246513,1709818884.579,1709818945.931
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,175,12.434025185325707,1709818884.58,1709818946.346
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,176,12.217820843414021,1709818884.58,1709818947.439
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,178,12.896075770227569,1709818884.579,1709818944.132
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,171,13.021363169746307,1709818884.579,1709818943.559
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,14,169,12.101539468421954,1709818884.579,1709818948.042
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,189,12.412923653420085,1709818884.579,1709818946.45
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,182,11.874207618001106,1709818884.58,1709818949.258
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,186,11.831949359069489,1709818884.591,1709818949.5
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,188,11.932506760768105,1709818884.58,1709818948.942
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,185,12.095250084684292,1709818884.58,1709818948.076
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,180,12.211021708714044,1709818884.579,1709818947.473
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,191,12.64114298072553,1709818884.579,1709818945.333
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,184,12.005252319714723,1709818884.582,1709818948.554
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,181,12.748580702615063,1709818884.579,1709818944.821
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,190,12.553532321017611,1709818884.579,1709818945.757
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,183,12.721129004619689,1709818884.579,1709818944.951
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,15,187,12.303354553065521,1709818884.58,1709818947.002
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,2,27,12.248217821781802,1709818884.657,1709818947.36
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,2,30,11.872922635531793,1709818884.668,1709818949.353
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,2,31,12.65906244177008,1709818884.651,1709818945.319
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,2,29,12.36495949582687,1709818884.656,1709818946.767
AllToAll,DragonflyList,all-to-all-bs-192-g-12-run-1,192,16,12,true,1048576,4194304,2,26,12.44853632328539,1709818884.654,1709818946.348
