benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,48,56.901535772883484,1708619286.775,1708619291.274
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,74,65.25618384157677,1708619286.772,1708619290.695
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,52,33.43345929630992,1708619286.794,1708619294.451
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,69,49.31612420583786,1708619286.779,1708619291.97
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,79,123.97095518804069,1708619286.693,1708619288.758
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,65,40.69952329929469,1708619286.792,1708619293.082
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,95,93.63569155509946,1708619286.758,1708619289.492
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,56,53.56769149404435,1708619286.776,1708619291.555
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,66,267.2233974749032,1708619286.658,1708619287.616
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,80,198.75778428410464,1708619286.661,1708619287.949
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,78,24.55871060927223,1708619286.806,1708619297.23
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,88,177.28531785703967,1708619286.666,1708619288.11
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,58,462.09394554415394,1708619286.657,1708619287.211
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,83,60.76430355909776,1708619286.772,1708619290.985
Gather,DragonflyList,gather-bs-192-g-48-run-1,192,4,48,true,1048576,268435456,1,55,47.36355251712897,1708619286.786,1708619292.191
