benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,78,27.164685836846047,1708963801.839,1708963811.263
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,75,28.387668709959865,1708963801.839,1708963810.857
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,72,29.708715797053078,1708963801.838,1708963810.455
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,76,27.88063626446328,1708963801.839,1708963811.021
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,77,27.562445850130615,1708963801.839,1708963811.127
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,79,26.378155797268786,1708963801.838,1708963811.543
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,82,25.87426709300233,1708963801.839,1708963811.733
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,74,28.76727745029345,1708963801.839,1708963810.738
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,80,26.02948642674671,1708963801.839,1708963811.674
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,73,29.213739548747608,1708963801.838,1708963810.601
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,83,25.23410551811753,1708963801.838,1708963811.983
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,6,81,25.659015741098596,1708963801.839,1708963811.816
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,64,33.015218171296276,1708963801.838,1708963809.592
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,70,29.966054139576425,1708963801.839,1708963810.382
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,60,36.09701067746781,1708963801.839,1708963808.931
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,67,31.98001203500038,1708963801.839,1708963809.844
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,68,31.44190632023879,1708963801.839,1708963809.981
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,65,32.95571522288484,1708963801.839,1708963809.607
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,61,35.359115975523366,1708963801.839,1708963809.079
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,63,34.060670422510015,1708963801.839,1708963809.355
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,62,34.56656811967544,1708963801.839,1708963809.245
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,66,32.31915160670524,1708963801.839,1708963809.76
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,71,30.043422456349898,1708963801.838,1708963810.359
Scatter,DragonflyList,scatter-bs-96-g-12-run-5,96,8,12,true,1048576,268435456,5,69,31.015265519413248,1708963801.839,1708963810.093
