host_job_create_tstamp,host_job_serialize_time,func_data_size_bytes,func_module_size_bytes,host_func_upload_time,host_data_upload_time,host_job_created_time,host_status_done_tstamp,host_status_query_count,worker_start_tstamp,host_submit_tstamp,worker_cold_start,worker_peak_memory_start,worker_func_start_tstamp,worker_func_end_tstamp,worker_func_exec_time,func_result_size,worker_result_upload_time,worker_peak_memory_end,worker_end_tstamp,worker_exec_time,host_result_done_tstamp,host_result_query_count
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071799.2941985,1,1703071792.2113898,1703071781.903477,True,63229952.0,1703071792.5408006,1703071797.5410388,5.00023818,5.0,0.0,64417792.0,1703071797.5540183,5.34262848,1703071799.9523408,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071799.2775583,1,1703071792.2113223,1703071781.9039066,True,66232320.0,1703071792.5730114,1703071797.5739746,5.00096321,5.0,0.0,67420160.0,1703071797.5862846,5.37496233,1703071799.9556673,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.35199,1,1703071793.5161946,1703071781.9041593,False,68108288.0,1703071793.8371704,1703071798.838071,5.00090075,5.0,0.0,69296128.0,1703071798.85066,5.3344655,1703071802.9662952,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071799.404253,1,1703071792.4008741,1703071781.9043317,True,65974272.0,1703071792.7238438,1703071797.7242322,5.00038838,5.0,0.0,67084288.0,1703071797.7371392,5.33626509,1703071799.952936,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.2037435,1,1703071792.9420743,1703071781.9044898,True,64651264.0,1703071793.2003872,1703071798.2008224,5.00043511,5.0,0.0,65839104.0,1703071798.2127757,5.27070141,1703071802.9645636,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.7424004,1,1703071793.1961997,1703071781.9046524,True,62799872.0,1703071793.4926496,1703071798.4931602,5.00051069,5.0,0.0,63987712.0,1703071798.5056202,5.30942059,1703071802.9698424,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071799.435514,1,1703071792.367476,1703071781.9049451,True,63299584.0,1703071792.705969,1703071797.7070272,5.0010581,5.0,0.0,64487424.0,1703071797.7196546,5.35217857,1703071799.9552822,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.0034866,1,1703071794.556404,1703071781.9050972,True,66572288.0,1703071794.8720627,1703071799.873165,5.00110221,5.0,0.0,67760128.0,1703071799.8872566,5.33085251,1703071802.967447,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.3599875,1,1703071794.0637333,1703071781.9052505,False,64831488.0,1703071794.3614612,1703071799.361914,5.00045276,5.0,0.0,66019328.0,1703071799.3759203,5.31218696,1703071802.9721475,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.2262528,1,1703071793.4959862,1703071781.9054067,False,65921024.0,1703071793.8167942,1703071798.817695,5.00090075,5.0,0.0,67108864.0,1703071798.832108,5.3361218,1703071802.973144,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1440299,1,1703071793.555087,1703071781.9055605,False,68218880.0,1703071794.0451353,1703071799.0458422,5.00070691,5.0,0.0,69406720.0,1703071799.0620544,5.50696731,1703071803.9789033,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.389803,1,1703071793.6615522,1703071781.9057047,False,67330048.0,1703071794.0435338,1703071799.0439408,5.00040698,5.0,0.0,68517888.0,1703071799.0620346,5.40048242,1703071802.9717655,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.613448,1,1703071793.6483114,1703071781.9058568,True,65163264.0,1703071794.1674585,1703071799.167848,5.00038958,5.0,0.0,66351104.0,1703071799.1809185,5.53260708,1703071803.9782495,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071801.9831512,1,1703071794.2437904,1703071781.9059966,True,65671168.0,1703071794.633439,1703071799.63372,5.00028086,5.0,0.0,66859008.0,1703071799.6513453,5.40755486,1703071802.9722855,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.9801474,1,1703071793.9530635,1703071781.9061341,True,65335296.0,1703071794.307414,1703071799.3077579,5.0003438,5.0,0.0,66523136.0,1703071799.3193407,5.36627722,1703071803.9787493,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.100847,1,1703071795.3574543,1703071781.906277,True,63115264.0,1703071795.6349585,1703071800.6355345,5.00057602,5.0,0.0,64303104.0,1703071800.6478465,5.29039216,1703071802.974799,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071801.9764872,1,1703071793.4744098,1703071781.9064605,True,65589248.0,1703071793.8300366,1703071798.830512,5.00047541,5.0,0.0,66777088.0,1703071798.8412004,5.36679053,1703071802.9746635,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1208513,1,1703071793.52177,1703071781.9065993,False,67051520.0,1703071793.8304057,1703071798.8314302,5.00102448,5.0,0.0,68239360.0,1703071798.843325,5.3215549,1703071803.9795802,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.56064,1,1703071793.218693,1703071781.906733,True,63741952.0,1703071793.554369,1703071798.5554993,5.00113034,5.0,0.0,64929792.0,1703071798.5672297,5.34853673,1703071803.9801102,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1199806,1,1703071793.320739,1703071781.9068687,False,65433600.0,1703071793.687348,1703071798.6880558,5.00070786,5.0,0.0,66621440.0,1703071798.7104042,5.38966513,1703071803.9804876,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.3829796,1,1703071793.5665843,1703071781.9070218,False,67481600.0,1703071793.8479981,1703071798.8491378,5.00113964,5.0,0.0,68669440.0,1703071798.8633773,5.29679298,1703071803.9807167,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071799.4017582,1,1703071792.5558352,1703071781.907194,False,65671168.0,1703071792.8216968,1703071797.8221083,5.00041151,5.0,0.0,66859008.0,1703071797.832361,5.27652574,1703071799.9546628,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071799.5562525,1,1703071792.57238,1703071781.9073346,False,66117632.0,1703071792.8335297,1703071797.8341277,5.00059795,5.0,0.0,67342336.0,1703071797.8445075,5.27212739,1703071799.9558287,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.9678876,1,1703071797.4342444,1703071781.907464,True,62738432.0,1703071797.8386016,1703071802.839682,5.00108051,5.0,0.0,63848448.0,1703071802.867272,5.43302751,1703071806.0055382,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1247647,1,1703071793.5001528,1703071781.907942,False,67997696.0,1703071793.8532295,1703071798.8542535,5.00102401,5.0,0.0,69185536.0,1703071798.8672428,5.36708999,1703071803.9965153,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071809.140513,2,1703071800.3513477,1703071781.9081173,True,65818624.0,1703071800.8718839,1703071805.8729746,5.00109076,5.0,0.0,66928640.0,1703071805.8926198,5.54127216,1703071810.014043,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.5567222,1,1703071795.4337032,1703071781.9082785,True,64286720.0,1703071795.6957364,1703071800.696546,5.00080967,5.0,0.0,65474560.0,1703071800.717757,5.2840538,1703071803.98121,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.9568594,1,1703071796.7368674,1703071781.9084265,True,65310720.0,1703071797.14806,1703071802.1494663,5.00140619,5.0,0.0,66498560.0,1703071802.170788,5.43392062,1703071806.0038803,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071806.28676,1,1703071797.4358735,1703071781.9085677,True,62971904.0,1703071797.8627474,1703071802.864741,5.00199366,5.0,0.0,64081920.0,1703071802.8934088,5.45753527,1703071807.0087278,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.8355253,1,1703071793.517889,1703071781.9087043,False,65232896.0,1703071793.8373704,1703071798.8384008,5.00103045,5.0,0.0,66420736.0,1703071798.8497612,5.33187222,1703071802.973536,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.7525628,1,1703071796.0801344,1703071781.9088361,True,63967232.0,1703071796.3955863,1703071801.3967845,5.00119829,5.0,0.0,65155072.0,1703071801.412707,5.3325727,1703071806.0050654,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.7086391,1,1703071795.642231,1703071781.908978,True,65802240.0,1703071795.9041579,1703071800.9057078,5.00154996,5.0,0.0,66990080.0,1703071800.9219868,5.27975583,1703071802.9754503,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.692806,1,1703071793.680532,1703071781.9091184,False,64409600.0,1703071793.9615467,1703071798.9617078,5.00016117,5.0,0.0,65597440.0,1703071798.9742777,5.29374576,1703071803.981089,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071806.076614,1,1703071798.4196124,1703071781.9093008,False,67321856.0,1703071798.6696932,1703071803.670968,5.00127482,5.0,0.0,68509696.0,1703071803.6884155,5.26880312,1703071807.008826,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.7005746,1,1703071797.413539,1703071781.9094446,True,65458176.0,1703071797.834153,1703071802.834776,5.00062299,5.0,0.0,66568192.0,1703071802.8622575,5.44871855,1703071806.0052147,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.6457891,1,1703071794.865425,1703071781.90958,False,66641920.0,1703071795.1380608,1703071800.1443367,5.00627589,5.0,0.0,67829760.0,1703071800.156248,5.29082298,1703071803.9972582,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.703948,1,1703071796.0592523,1703071781.909719,True,65826816.0,1703071796.4510832,1703071801.4518888,5.00080562,5.0,0.0,67014656.0,1703071801.4641283,5.40487599,1703071806.0058143,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.7159123,1,1703071796.0478396,1703071781.9098558,True,63774720.0,1703071796.321669,1703071801.3225856,5.00091648,5.0,0.0,64962560.0,1703071801.3856032,5.33776355,1703071806.0059662,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1164992,1,1703071795.383499,1703071781.9099956,True,65183744.0,1703071795.6851027,1703071800.6854284,5.00032568,5.0,0.0,66371584.0,1703071800.6989198,5.31542087,1703071803.9975836,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1187313,1,1703071795.5643208,1703071781.9101224,True,66465792.0,1703071795.8719695,1703071800.8728821,5.00091267,5.0,0.0,67690496.0,1703071800.8944085,5.33008766,1703071803.997976,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.7130105,1,1703071796.711338,1703071781.9102623,True,66723840.0,1703071796.9995174,1703071802.0005772,5.00105977,5.0,0.0,67911680.0,1703071802.0125747,5.30123663,1703071806.0061004,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.974425,1,1703071795.4776316,1703071781.9104047,True,65257472.0,1703071795.7289703,1703071800.729125,5.00015473,5.0,0.0,66445312.0,1703071800.740502,5.26287055,1703071802.9766636,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071806.0698957,1,1703071796.3346164,1703071781.9105656,False,67026944.0,1703071796.6558807,1703071801.6566532,5.00077248,5.0,0.0,68214784.0,1703071801.675583,5.34096646,1703071807.0092258,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.1086302,1,1703071795.4065912,1703071781.9107091,True,64692224.0,1703071795.7094922,1703071800.7104452,5.00095296,5.0,0.0,65880064.0,1703071800.7264433,5.31985211,1703071803.9963849,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.597335,1,1703071794.9396775,1703071781.9108446,False,66912256.0,1703071795.2566788,1703071800.2576606,5.00098181,5.0,0.0,68100096.0,1703071800.2694623,5.32978487,1703071803.9982884,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071805.8519125,1,1703071796.5688698,1703071781.9109943,True,63266816.0,1703071796.8522375,1703071801.8528688,5.00063133,5.0,0.0,64454656.0,1703071801.8651516,5.29628181,1703071806.0062144,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.6485577,1,1703071795.1879241,1703071781.9111512,True,65888256.0,1703071795.5132678,1703071800.5142684,5.00100064,5.0,0.0,67076096.0,1703071800.5331182,5.3451941,1703071803.9960048,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.7779453,1,1703071793.667687,1703071781.9112935,False,68276224.0,1703071794.032847,1703071799.033889,5.00104213,5.0,0.0,69464064.0,1703071799.0492873,5.38160038,1703071802.9752448,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.6993916,1,1703071793.6661012,1703071781.9114268,False,65818624.0,1703071794.048751,1703071799.049389,5.00063777,5.0,0.0,67006464.0,1703071799.069649,5.40354776,1703071803.9985662,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071803.0969195,1,1703071794.4801674,1703071781.911569,True,66146304.0,1703071794.7739925,1703071799.7745285,5.00053596,5.0,0.0,67334144.0,1703071799.7863903,5.30622292,1703071803.999285,0
1703071781.5654597,0.003133,2100,777,0.333843,0,0.33733,1703071802.763933,1,1703071793.4655833,1703071781.9117332,False,67502080.0,1703071793.7689273,1703071798.7699096,5.00098228,5.0,0.0,68689920.0,1703071798.7813797,5.31579638,1703071802.9751902,0
