fn_id,host_submit,init_fn,post_download,pre_shuffle,post_shuffle,pre_upload,end_fn,finished
0,1708342657768,1708342667214,1708342672058,1708342672137,1708342674159,1708342675116,1708342680410,1708342683784
1,1708342657768,1708342667214,1708342672873,1708342672998,1708342674136,1708342675271,1708342680501,1708342683784
2,1708342657768,1708342667214,1708342673100,1708342673278,1708342674248,1708342675314,1708342680502,1708342683784
3,1708342657768,1708342667214,1708342672802,1708342672872,1708342673929,1708342674836,1708342678470,1708342683784
4,1708342657768,1708342667214,1708342673032,1708342673148,1708342674266,1708342675276,1708342680503,1708342683784
5,1708342657768,1708342667214,1708342672222,1708342672289,1708342674095,1708342675005,1708342680373,1708342683784
6,1708342657768,1708342667214,1708342673224,1708342673347,1708342674363,1708342675414,1708342680509,1708342683784
7,1708342657768,1708342667213,1708342673051,1708342673168,1708342674047,1708342675285,1708342680509,1708342683784
8,1708342657768,1708342667213,1708342672555,1708342672613,1708342673934,1708342674807,1708342676468,1708342683784
9,1708342657768,1708342667213,1708342671680,1708342671769,1708342674121,1708342675232,1708342680496,1708342683784
10,1708342657768,1708342667213,1708342673128,1708342673301,1708342674268,1708342675317,1708342680502,1708342683784
11,1708342657768,1708342667213,1708342672880,1708342672951,1708342674132,1708342675220,1708342680599,1708342683784
12,1708342657768,1708342667213,1708342670450,1708342670526,1708342673911,1708342674800,1708342678715,1708342683784
13,1708342657768,1708342667213,1708342672004,1708342672086,1708342674007,1708342674938,1708342680343,1708342683784
14,1708342657768,1708342667213,1708342671659,1708342671776,1708342673975,1708342675073,1708342680467,1708342683784
15,1708342657768,1708342667213,1708342673116,1708342673355,1708342674195,1708342675304,1708342680631,1708342683784
