fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1708340999563,1708341003377,1708341007797,1708341007995,1708341020912,1708341024223,1708341027930,1708341031967,1708341032723,1708341037329,1708341040349
1,1708340999563,1708341003378,1708341008089,1708341008273,1708341020672,1708341024223,1708341027925,1708341032126,1708341032781,1708341037320,1708341040349
2,1708340999563,1708341003385,1708341008626,1708341008805,1708341020893,1708341024223,1708341027932,1708341031808,1708341032520,1708341037283,1708341040349
3,1708340999563,1708341003383,1708341007441,1708341007621,1708341019645,1708341024223,1708341027925,1708341031508,1708341032163,1708341036446,1708341040349
4,1708340999563,1708341003380,1708341007714,1708341007903,1708341019657,1708341024223,1708341027933,1708341031746,1708341032596,1708341037329,1708341040349
5,1708340999563,1708341003376,1708341006695,1708341006879,1708341020912,1708341024223,1708341027925,1708341032191,1708341032836,1708341037329,1708341040349
6,1708340999563,1708341003374,1708341008255,1708341008443,1708341020408,1708341024223,1708341027937,1708341031820,1708341032532,1708341037251,1708341040349
7,1708340999563,1708341003361,1708341008944,1708341009133,1708341021298,1708341024223,1708341027934,1708341031812,1708341032572,1708341037328,1708341040349
8,1708340999563,1708341003381,1708341009439,1708341009630,1708341021294,1708341024223,1708341027925,1708341032173,1708341032761,1708341037329,1708341040349
9,1708340999563,1708341003381,1708341008945,1708341009129,1708341020682,1708341024223,1708341027926,1708341031754,1708341032394,1708341037137,1708341040349
10,1708340999563,1708341003375,1708341007553,1708341007735,1708341021069,1708341024223,1708341027918,1708341031702,1708341032308,1708341037202,1708341040349
11,1708340999563,1708341003380,1708341007872,1708341008056,1708341020056,1708341024223,1708341027929,1708341032153,1708341032867,1708341037328,1708341040349
12,1708340999563,1708341003379,1708341007859,1708341008047,1708341020912,1708341024223,1708341027927,1708341032237,1708341032869,1708341037329,1708341040349
13,1708340999563,1708341003372,1708341007516,1708341007707,1708341020912,1708341024223,1708341027928,1708341032256,1708341032870,1708341037329,1708341040349
14,1708340999563,1708341003366,1708341008526,1708341008708,1708341020407,1708341024223,1708341027927,1708341031583,1708341032248,1708341035816,1708341040349
15,1708340999563,1708341003387,1708341010401,1708341010600,1708341021498,1708341024223,1708341027934,1708341031987,1708341032677,1708341037304,1708341040349
