,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,Unnamed: 0.1,Unnamed: 0,fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0,1712244840896,1712244847240,1712244852480,1712244853417,1712245245872,0,0,0,1712245355934,1712245358373,1712245566777,1712245570672,1712245577482,1712245604243
1,1,1712244840896,1712244845953,1712244851895,1712244852775,1712245278397,1,1,1,1712245355934,1712245358388,1712245568432,1712245572940,1712245578132,1712245604243
2,2,1712244840896,1712244845867,1712244851116,1712244851932,1712245313918,2,2,2,1712245355934,1712245358354,1712245568059,1712245571762,1712245577471,1712245604243
3,3,1712244840896,1712244847580,1712244853717,1712244854638,1712245266346,3,3,3,1712245355934,1712245358379,1712245573487,1712245577281,1712245580122,1712245604243
4,4,1712244840896,1712244847574,1712244852941,1712244853870,1712245254777,4,4,4,1712245355934,1712245358360,1712245573540,1712245577852,1712245580911,1712245604243
5,5,1712244840896,1712244845781,1712244850953,1712244851778,1712245276733,5,5,5,1712245355934,1712245358377,1712245569390,1712245573647,1712245578726,1712245604243
6,6,1712244840896,1712244846654,1712244851862,1712244852737,1712245293330,6,6,6,1712245355934,1712245358385,1712245547486,1712245551635,1712245563381,1712245604243
7,7,1712244840896,1712244847268,1712244853712,1712244854632,1712245297885,7,7,7,1712245355934,1712245358368,1712245578729,1712245583207,1712245585456,1712245604243
8,8,1712244840896,1712244846653,1712244852481,1712244853364,1712245288634,8,8,8,1712245355934,1712245358367,1712245545323,1712245548708,1712245558097,1712245604243
9,9,1712244840896,1712244845870,1712244851770,1712244852612,1712245333157,9,9,9,1712245355934,1712245358375,1712245572545,1712245578121,1712245581292,1712245604243
10,10,1712244840896,1712244846447,1712244851620,1712244852483,1712245272796,10,10,10,1712245355934,1712245358366,1712245579091,1712245583566,1712245585979,1712245604243
11,11,1712244840896,1712244845806,1712244851440,1712244852278,1712245260714,11,11,11,1712245355934,1712245358383,1712245574228,1712245579747,1712245582260,1712245604243
12,12,1712244840896,1712244849539,1712244855138,1712244856029,1712245293020,12,12,12,1712245355934,1712245358367,1712245575425,1712245581236,1712245583485,1712245604243
13,13,1712244840896,1712244845869,1712244852548,1712244853416,1712245323517,13,13,13,1712245355934,1712245358388,1712245560756,1712245566620,1712245575902,1712245604243
14,14,1712244840896,1712244849669,1712244855355,1712244856273,1712245303641,14,14,14,1712245355934,1712245358353,1712245553395,1712245558030,1712245569792,1712245604243
15,15,1712244840896,1712244846449,1712244851864,1712244852754,1712245283195,15,15,15,1712245355934,1712245358385,1712245560666,1712245565851,1712245573970,1712245604243
16,16,1712244840896,1712244849838,1712244855625,1712244856521,1712245267513,16,16,16,1712245355934,1712245358366,1712245530459,1712245532855,1712245538308,1712245604243
17,17,1712244840896,1712244849337,1712244854880,1712244855971,1712245300229,17,17,17,1712245355934,1712245358382,1712245570953,1712245576311,1712245580362,1712245604243
18,18,1712244840896,1712244849311,1712244856311,1712244857264,1712245340193,18,18,18,1712245355934,1712245358349,1712245569207,1712245573212,1712245579031,1712245604243
19,19,1712244840896,1712244848695,1712244855162,1712244856388,1712245254525,19,19,19,1712245355934,1712245358370,1712245564765,1712245569351,1712245576522,1712245604243
20,20,1712244840896,1712244848738,1712244854092,1712244854980,1712245304027,20,20,20,1712245355934,1712245358366,1712245559074,1712245562298,1712245569045,1712245604243
21,21,1712244840896,1712244853622,1712244858743,1712244859928,1712245304772,21,21,21,1712245355934,1712245358368,1712245561790,1712245566792,1712245574675,1712245604243
22,22,1712244840896,1712244848738,1712244855037,1712244855988,1712245300227,22,22,22,1712245355934,1712245358371,1712245552450,1712245555576,1712245564587,1712245604243
23,23,1712244840896,1712244848591,1712244854114,1712244855066,1712245231490,23,23,23,1712245355934,1712245358370,1712245570392,1712245575334,1712245580211,1712245604243
24,24,1712244840896,1712244853622,1712244859177,1712244860090,1712245348044,24,24,24,1712245355934,1712245358366,1712245576303,1712245582434,1712245585047,1712245604243
25,25,1712244840896,1712244852359,1712244857577,1712244858607,1712245310978,25,25,25,1712245355934,1712245358368,1712245567932,1712245572819,1712245579496,1712245604243
26,26,1712244840896,1712244852118,1712244857464,1712244858464,1712245313124,26,26,26,1712245355934,1712245358346,1712245574194,1712245579875,1712245584044,1712245604243
27,27,1712244840896,1712244852377,1712244857185,1712244858563,1712245263572,27,27,27,1712245355934,1712245358384,1712245564896,1712245569118,1712245576358,1712245604243
28,28,1712244840896,1712244852360,1712244857260,1712244858497,1712245307218,28,28,28,1712245355934,1712245358369,1712245569128,1712245575506,1712245580148,1712245604243
