fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1712246028144,1712246030583,1712246238987,1712246242882,1712246249692,1712246276453
1,1712246028144,1712246030598,1712246240642,1712246245150,1712246250342,1712246276453
2,1712246028144,1712246030564,1712246240269,1712246243972,1712246249681,1712246276453
3,1712246028144,1712246030589,1712246245697,1712246249491,1712246252332,1712246276453
4,1712246028144,1712246030570,1712246245750,1712246250062,1712246253121,1712246276453
5,1712246028144,1712246030587,1712246241600,1712246245857,1712246250936,1712246276453
6,1712246028144,1712246030595,1712246219696,1712246223845,1712246235591,1712246276453
7,1712246028144,1712246030578,1712246250939,1712246255417,1712246257666,1712246276453
8,1712246028144,1712246030577,1712246217533,1712246220918,1712246230307,1712246276453
9,1712246028144,1712246030585,1712246244755,1712246250331,1712246253502,1712246276453
10,1712246028144,1712246030576,1712246251301,1712246255776,1712246258189,1712246276453
11,1712246028144,1712246030593,1712246246438,1712246251957,1712246254470,1712246276453
12,1712246028144,1712246030577,1712246247635,1712246253446,1712246255695,1712246276453
13,1712246028144,1712246030598,1712246232966,1712246238830,1712246248112,1712246276453
14,1712246028144,1712246030563,1712246225605,1712246230240,1712246242002,1712246276453
15,1712246028144,1712246030595,1712246232876,1712246238061,1712246246180,1712246276453
16,1712246028144,1712246030576,1712246202669,1712246205065,1712246210518,1712246276453
17,1712246028144,1712246030592,1712246243163,1712246248521,1712246252572,1712246276453
18,1712246028144,1712246030559,1712246241417,1712246245422,1712246251241,1712246276453
20,1712246028144,1712246030580,1712246236975,1712246241561,1712246248732,1712246276453
21,1712246028144,1712246030576,1712246231284,1712246234508,1712246241255,1712246276453
22,1712246028144,1712246030578,1712246234000,1712246239002,1712246246885,1712246276453
23,1712246028144,1712246030581,1712246224660,1712246227786,1712246236797,1712246276453
24,1712246028144,1712246030580,1712246242602,1712246247544,1712246252421,1712246276453
25,1712246028144,1712246030576,1712246248513,1712246254644,1712246257257,1712246276453
26,1712246028144,1712246030578,1712246240142,1712246245029,1712246251706,1712246276453
27,1712246028144,1712246030556,1712246246404,1712246252085,1712246256254,1712246276453
28,1712246028144,1712246030594,1712246237106,1712246241328,1712246248568,1712246276453
29,1712246028144,1712246030579,1712246241338,1712246247716,1712246252358,1712246276453
30,1712246028144,1712246030596,1712246229022,1712246232381,1712246239247,1712246276453
31,1712246028144,1712246030567,1712246242619,1712246247031,1712246251842,1712246276453
32,1712246028144,1712246030579,1712246232790,1712246237642,1712246246211,1712246276453
33,1712246028144,1712246030597,1712246235072,1712246240284,1712246248008,1712246276453
34,1712246028144,1712246030581,1712246248904,1712246252128,1712246254250,1712246276453
35,1712246028144,1712246030580,1712246243348,1712246247238,1712246251923,1712246276453
36,1712246028144,1712246030578,1712246224987,1712246229219,1712246238209,1712246276453
37,1712246028144,1712246030598,1712246239184,1712246243402,1712246249246,1712246276453
38,1712246028144,1712246030593,1712246250614,1712246255736,1712246258369,1712246276453
39,1712246028144,1712246030594,1712246231366,1712246235957,1712246244781,1712246276453
41,1712246028144,1712246030594,1712246240027,1712246244334,1712246249909,1712246276453
42,1712246028144,1712246030598,1712246241723,1712246247859,1712246252229,1712246276453
43,1712246028144,1712246030598,1712246251891,1712246256998,1712246259654,1712246276453
44,1712246028144,1712246030598,1712246246941,1712246251813,1712246254290,1712246276453
45,1712246028144,1712246030599,1712246248345,1712246253131,1712246255318,1712246276453
46,1712246028144,1712246030597,1712246235681,1712246241294,1712246249221,1712246276453
