,Unnamed: 0,fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0,0,1712245355934,1712245358373,1712245566777,1712245570672,1712245577482,1712245604243
1,1,1,1712245355934,1712245358388,1712245568432,1712245572940,1712245578132,1712245604243
2,2,2,1712245355934,1712245358354,1712245568059,1712245571762,1712245577471,1712245604243
3,3,3,1712245355934,1712245358379,1712245573487,1712245577281,1712245580122,1712245604243
4,4,4,1712245355934,1712245358360,1712245573540,1712245577852,1712245580911,1712245604243
5,5,5,1712245355934,1712245358377,1712245569390,1712245573647,1712245578726,1712245604243
6,6,6,1712245355934,1712245358385,1712245547486,1712245551635,1712245563381,1712245604243
7,7,7,1712245355934,1712245358368,1712245578729,1712245583207,1712245585456,1712245604243
8,8,8,1712245355934,1712245358367,1712245545323,1712245548708,1712245558097,1712245604243
9,9,9,1712245355934,1712245358375,1712245572545,1712245578121,1712245581292,1712245604243
10,10,10,1712245355934,1712245358366,1712245579091,1712245583566,1712245585979,1712245604243
11,11,11,1712245355934,1712245358383,1712245574228,1712245579747,1712245582260,1712245604243
12,12,12,1712245355934,1712245358367,1712245575425,1712245581236,1712245583485,1712245604243
13,13,13,1712245355934,1712245358388,1712245560756,1712245566620,1712245575902,1712245604243
14,14,14,1712245355934,1712245358353,1712245553395,1712245558030,1712245569792,1712245604243
15,15,15,1712245355934,1712245358385,1712245560666,1712245565851,1712245573970,1712245604243
16,16,16,1712245355934,1712245358366,1712245530459,1712245532855,1712245538308,1712245604243
17,17,17,1712245355934,1712245358382,1712245570953,1712245576311,1712245580362,1712245604243
18,18,18,1712245355934,1712245358349,1712245569207,1712245573212,1712245579031,1712245604243
19,19,19,1712245355934,1712245358370,1712245564765,1712245569351,1712245576522,1712245604243
20,20,20,1712245355934,1712245358366,1712245559074,1712245562298,1712245569045,1712245604243
21,21,21,1712245355934,1712245358368,1712245561790,1712245566792,1712245574675,1712245604243
22,22,22,1712245355934,1712245358371,1712245552450,1712245555576,1712245564587,1712245604243
23,23,23,1712245355934,1712245358370,1712245570392,1712245575334,1712245580211,1712245604243
24,24,24,1712245355934,1712245358366,1712245576303,1712245582434,1712245585047,1712245604243
25,25,25,1712245355934,1712245358368,1712245567932,1712245572819,1712245579496,1712245604243
26,26,26,1712245355934,1712245358346,1712245574194,1712245579875,1712245584044,1712245604243
27,27,27,1712245355934,1712245358384,1712245564896,1712245569118,1712245576358,1712245604243
28,28,28,1712245355934,1712245358369,1712245569128,1712245575506,1712245580148,1712245604243
29,29,29,1712245355934,1712245358386,1712245556812,1712245560171,1712245567037,1712245604243
30,30,30,1712245355934,1712245358357,1712245570409,1712245574821,1712245579632,1712245604243
31,31,31,1712245355934,1712245358369,1712245560580,1712245565432,1712245574001,1712245604243
32,32,32,1712245355934,1712245358387,1712245562862,1712245568074,1712245575798,1712245604243
33,33,33,1712245355934,1712245358371,1712245576694,1712245579918,1712245582040,1712245604243
34,34,34,1712245355934,1712245358370,1712245571138,1712245575028,1712245579713,1712245604243
35,35,35,1712245355934,1712245358368,1712245552777,1712245557009,1712245565999,1712245604243
36,36,36,1712245355934,1712245358388,1712245566974,1712245571192,1712245577036,1712245604243
37,37,37,1712245355934,1712245358383,1712245578404,1712245583526,1712245586159,1712245604243
38,38,38,1712245355934,1712245358384,1712245559156,1712245563747,1712245572571,1712245604243
39,39,39,1712245355934,1712245358384,1712245567817,1712245572124,1712245577699,1712245604243
40,40,40,1712245355934,1712245358388,1712245569513,1712245575649,1712245580019,1712245604243
41,41,41,1712245355934,1712245358388,1712245579681,1712245584788,1712245587444,1712245604243
42,42,42,1712245355934,1712245358388,1712245574731,1712245579603,1712245582080,1712245604243
43,43,43,1712245355934,1712245358389,1712245576135,1712245580921,1712245583108,1712245604243
44,44,44,1712245355934,1712245358387,1712245563471,1712245569084,1712245577011,1712245604243
45,45,45,1712245355934,1712245358389,1712245531926,1712245534095,1712245539713,1712245604243
46,46,46,1712245355934,1712245358387,1712245566068,1712245570758,1712245577416,1712245604243
47,47,47,1712245355934,1712245358390,1712245570839,1712245575152,1712245578978,1712245604243
48,48,48,1712245355934,1712245358394,1712245563029,1712245569025,1712245588945,1712245604243
49,49,49,1712245355934,1712245358395,1712245567413,1712245573957,1712245580943,1712245604243
50,50,50,1712245355934,1712245358397,1712245558520,1712245562305,1712245572772,1712245604243
51,51,51,1712245355934,1712245358395,1712245564096,1712245569060,1712245577169,1712245604243
52,52,52,1712245355934,1712245358397,1712245577694,1712245583150,1712245585530,1712245604243
53,53,53,1712245355934,1712245358412,1712245539719,1712245542446,1712245551265,1712245604243
54,54,54,1712245355934,1712245358413,1712245568055,1712245571526,1712245576650,1712245604243
55,55,55,1712245355934,1712245358413,1712245563904,1712245568176,1712245576110,1712245604243
56,56,56,1712245355934,1712245358422,1712245563918,1712245567496,1712245575864,1712245604243
57,57,57,1712245355934,1712245358421,1712245560886,1712245565445,1712245572525,1712245604243
58,58,58,1712245355934,1712245358428,1712245554335,1712245558083,1712245565761,1712245604243
59,59,59,1712245355934,1712245358444,1712245574438,1712245577813,1712245580538,1712245604243
60,60,60,1712245355934,1712245358443,1712245574100,1712245578051,1712245580981,1712245604243
61,61,61,1712245355934,1712245358447,1712245567533,1712245571408,1712245577392,1712245604243
62,62,62,1712245355934,1712245358450,1712245559745,1712245565570,1712245575795,1712245604243
63,63,63,1712245355934,1712245358459,1712245553030,1712245556772,1712245567100,1712245604243
64,64,64,1712245355934,1712245358467,1712245567334,1712245571424,1712245577969,1712245604243
65,65,65,1712245355934,1712245358481,1712245575555,1712245581446,1712245583773,1712245604243
66,66,66,1712245355934,1712245358483,1712245565673,1712245570197,1712245576900,1712245604243
67,67,67,1712245355934,1712245358510,1712245561542,1712245565756,1712245574777,1712245604243
