fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1713179786863,1713179792880,1713179939332,1713179943638,1713179952191,1713180004515
1,1713179786863,1713179795326,1713179972223,1713179976512,1713179982830,1713180004515
2,1713179786863,1713179792985,1713179983569,1713179987069,1713179991439,1713180004515
4,1713179786863,1713179793218,1713179885551,1713179888589,1713179893674,1713180004515
5,1713179786863,1713179794760,1713179913302,1713179917807,1713179925066,1713180004515
6,1713179786863,1713179793534,1713179884014,1713179887052,1713179889679,1713180004515
7,1713179786863,1713179797338,1713179906051,1713179908319,1713179912504,1713180004515
8,1713179786863,1713179793211,1713179944848,1713179948803,1713179956703,1713180004515
9,1713179786863,1713179793308,1713179884588,1713179886773,1713179890578,1713180004515
10,1713179786863,1713179795616,1713179961073,1713179964415,1713179969615,1713180004515
11,1713179786863,1713179795069,1713179937771,1713179940729,1713179947573,1713180004515
12,1713179786863,1713179797483,1713179940081,1713179942911,1713179949678,1713180004515
13,1713179786863,1713179793536,1713179949154,1713179954032,1713179964206,1713180004515
14,1713179786863,1713179795057,1713179888912,1713179893248,1713179899452,1713180004515
15,1713179786863,1713179792984,1713179982902,1713179986130,1713179988300,1713180004515
16,1713179786863,1713179793748,1713179984505,1713179988186,1713179990273,1713180004515
17,1713179786863,1713179797126,1713179883380,1713179888076,1713179896291,1713180004515
18,1713179786863,1713179796634,1713179968521,1713179972071,1713179980272,1713180004515
19,1713179786863,1713179796634,1713179887659,1713179891648,1713179897671,1713180004515
20,1713179786863,1713179796023,1713179963186,1713179966948,1713179975539,1713180004515
21,1713179786863,1713179795621,1713179941999,1713179946630,1713179955093,1713180004515
22,1713179786863,1713179799925,1713179923556,1713179927237,1713179933942,1713180004515
23,1713179786863,1713179800108,1713179976925,1713179982360,1713179985802,1713180004515
24,1713179786863,1713179799690,1713179973311,1713179978210,1713179988380,1713180004515
25,1713179786863,1713179799550,1713179880970,1713179883965,1713179886299,1713180004515
26,1713179786863,1713179797597,1713179978603,1713179982233,1713179984374,1713180004515
27,1713179786863,1713179798454,1713179902693,1713179907017,1713179914611,1713180004515
28,1713179786863,1713179798364,1713179937071,1713179939953,1713179948810,1713180004515
29,1713179786863,1713179797450,1713179969082,1713179972855,1713179978060,1713180004515
30,1713179786863,1713179801789,1713179984138,1713179988095,1713179990452,1713180004515
31,1713179786863,1713179801383,1713179922689,1713179925351,1713179932576,1713180004515
32,1713179786863,1713179801453,1713179988822,1713179991783,1713179994456,1713180004515
33,1713179786863,1713179800533,1713179953926,1713179957274,1713179963984,1713180004515
34,1713179786863,1713179800318,1713179973012,1713179976436,1713179983505,1713180004515
35,1713179786863,1713179800311,1713179916418,1713179920460,1713179927212,1713180004515
36,1713179786863,1713179800153,1713179932969,1713179937097,1713179944674,1713180004515
37,1713179786863,1713179802175,1713179986102,1713179989618,1713179991567,1713180004515
38,1713179786863,1713179802160,1713179952965,1713179957696,1713179967352,1713180004515
39,1713179786863,1713179801989,1713179983471,1713179987750,1713179990038,1713180004515
40,1713179786863,1713179803015,1713179978866,1713179983899,1713179990224,1713180004515
41,1713179786863,1713179802414,1713179969197,1713179971828,1713179975602,1713180004515
42,1713179786863,1713179804521,1713179977237,1713179981480,1713179988179,1713180004515
43,1713179786863,1713179803271,1713179947266,1713179949622,1713179957290,1713180004515
