xx,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,yy,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0,1713178715563,1713178726025,1713178729032,1713178730152,1713178996248,0,1713179081019,1713179087036,1713179233488,1713179237794,1713179246347,1713179298671
1,1,1713178715563,1713178727507,1713178730816,1713178732075,1713179009124,1,1713179081019,1713179089482,1713179266379,1713179270668,1713179276986,1713179298671
2,2,1713178715563,1713178726794,1713178730114,1713178731268,1713179000710,2,1713179081019,1713179087141,1713179277725,1713179281225,1713179285595,1713179298671
3,3,1713178715563,1713178726347,1713178729676,1713178730755,1713179027519,3,1713179081019,1713179087374,1713179179707,1713179182745,1713179187830,1713179298671
4,4,1713178715563,1713178727505,1713178730845,1713178732087,1713179036739,4,1713179081019,1713179088916,1713179207458,1713179211963,1713179219222,1713179298671
5,5,1713178715563,1713178726347,1713178730117,1713178731281,1713179003537,5,1713179081019,1713179087690,1713179178170,1713179181208,1713179183835,1713179298671
6,6,1713178715563,1713178727696,1713178730832,1713178732056,1713179051830,6,1713179081019,1713179091494,1713179200207,1713179202475,1713179206660,1713179298671
7,7,1713178715563,1713178726227,1713178729800,1713178730896,1713179006485,7,1713179081019,1713179087367,1713179239004,1713179242959,1713179250859,1713179298671
8,8,1713178715563,1713178729451,1713178732634,1713178733968,1713179009979,8,1713179081019,1713179087464,1713179178744,1713179180929,1713179184734,1713179298671
9,9,1713178715563,1713178725639,1713178729062,1713178730130,1713178986268,9,1713179081019,1713179089772,1713179255229,1713179258571,1713179263771,1713179298671
10,10,1713178715563,1713178731814,1713178735615,1713178736932,1713179026150,10,1713179081019,1713179089225,1713179231927,1713179234885,1713179241729,1713179298671
11,11,1713178715563,1713178725812,1713178729305,1713178730206,1713178994342,11,1713179081019,1713179091639,1713179234237,1713179237067,1713179243834,1713179298671
12,12,1713178715563,1713178727696,1713178731096,1713178732632,1713179027005,12,1713179081019,1713179087692,1713179243310,1713179248188,1713179258362,1713179298671
13,13,1713178715563,1713178727697,1713178731093,1713178732520,1713179019041,13,1713179081019,1713179089213,1713179183068,1713179187404,1713179193608,1713179298671
14,14,1713178715563,1713178726209,1713178729238,1713178730747,1713178996169,14,1713179081019,1713179087140,1713179277058,1713179280286,1713179282456,1713179298671
15,15,1713178715563,1713178723571,1713178726943,1713178727930,1713179008929,15,1713179081019,1713179087904,1713179278661,1713179282342,1713179284429,1713179298671
16,16,1713178715563,1713178732626,1713178735649,1713178737118,1713179016660,16,1713179081019,1713179091282,1713179177536,1713179182232,1713179190447,1713179298671
17,17,1713178715563,1713178724188,1713178727447,1713178728615,1713178985373,17,1713179081019,1713179090790,1713179262677,1713179266227,1713179274428,1713179298671
18,18,1713178715563,1713178728535,1713178731439,1713178732794,1713178997596,18,1713179081019,1713179090790,1713179181815,1713179185804,1713179191827,1713179298671
19,19,1713178715563,1713178722802,1713178726663,1713178727777,1713178951318,19,1713179081019,1713179090179,1713179257342,1713179261104,1713179269695,1713179298671
20,20,1713178715563,1713178729759,1713178732436,1713178733700,1713179006321,20,1713179081019,1713179089777,1713179236155,1713179240786,1713179249249,1713179298671
21,21,1713178715563,1713178723142,1713178726180,1713178727020,1713178936919,21,1713179081019,1713179094081,1713179217712,1713179221393,1713179228098,1713179298671
22,22,1713178715563,1713178728479,1713178731618,1713178732902,1713179055119,22,1713179081019,1713179094264,1713179271081,1713179276516,1713179279958,1713179298671
23,23,1713178715563,1713178722988,1713178726475,1713178727391,1713178943378,23,1713179081019,1713179093846,1713179267467,1713179272366,1713179282536,1713179298671
24,24,1713178715563,1713178722806,1713178725849,1713178726660,1713178935551,24,1713179081019,1713179093706,1713179175126,1713179178121,1713179180455,1713179298671
25,25,1713178715563,1713178722998,1713178726310,1713178727195,1713178950699,25,1713179081019,1713179091753,1713179272759,1713179276389,1713179278530,1713179298671
26,26,1713178715563,1713178728527,1713178731986,1713178733429,1713178987298,26,1713179081019,1713179092610,1713179196849,1713179201173,1713179208767,1713179298671
27,27,1713178715563,1713178729378,1713178732390,1713178733642,1713179023714,27,1713179081019,1713179092520,1713179231227,1713179234109,1713179242966,1713179298671
28,28,1713178715563,1713178723124,1713178726999,1713178727931,1713179008997,28,1713179081019,1713179091606,1713179263238,1713179267011,1713179272216,1713179298671
29,29,1713178715563,1713178723085,1713178726016,1713178726865,1713178974563,29,1713179081019,1713179095945,1713179278294,1713179282251,1713179284608,1713179298671
30,30,1713178715563,1713178722983,1713178726798,1713178727965,1713178976195,30,1713179081019,1713179095539,1713179216845,1713179219507,1713179226732,1713179298671
31,31,1713178715563,1713178723579,1713178726433,1713178727379,1713178956882,31,1713179081019,1713179095609,1713179282978,1713179285939,1713179288612,1713179298671
32,32,1713178715563,1713178723404,1713178727358,1713178728530,1713178993079,32,1713179081019,1713179094689,1713179248082,1713179251430,1713179258140,1713179298671
33,33,1713178715563,1713178738822,1713178742152,1713178743621,1713179037872,33,1713179081019,1713179094474,1713179267168,1713179270592,1713179277661,1713179298671
34,34,1713178715563,1713178738391,1713178741856,1713178743390,1713179040303,34,1713179081019,1713179094467,1713179210574,1713179214616,1713179221368,1713179298671
35,35,1713178715563,1713178738719,1713178742037,1713178743443,1713179020986,35,1713179081019,1713179094309,1713179227125,1713179231253,1713179238830,1713179298671
