kk,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,xx,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0.0,1713258605342.0,1713258613467.0,1713258620651.0,1713258621928.0,1713258630062.0,0.0,1713258684518.0,1713258690307.0,1713258705002.0,1713258715770.0,1713258724017.0,1713258757275.0
1,1.0,1713258605342.0,1713258617545.0,1713258625734.0,1713258627157.0,1713258652317.0,1.0,1713258684518.0,1713258690637.0,1713258704602.0,1713258711924.0,1713258718917.0,1713258757275.0
2,2.0,1713258605342.0,1713258613213.0,1713258621719.0,1713258623157.0,1713258631289.0,2.0,1713258684518.0,1713258690573.0,1713258705058.0,1713258715679.0,1713258724584.0,1713258757275.0
3,3.0,1713258605342.0,1713258618126.0,1713258625963.0,1713258627466.0,1713258658583.0,3.0,1713258684518.0,1713258689451.0,1713258703367.0,1713258713347.0,1713258721548.0,1713258757275.0
4,4.0,1713258605342.0,1713258613067.0,1713258620285.0,1713258621585.0,1713258628694.0,4.0,1713258684518.0,1713258690840.0,1713258705971.0,1713258716368.0,1713258725731.0,1713258757275.0
5,5.0,1713258605342.0,1713258618765.0,1713258626820.0,1713258628747.0,1713258661920.0,5.0,1713258684518.0,1713258689947.0,1713258704094.0,1713258712389.0,1713258719435.0,1713258757275.0
6,6.0,1713258605342.0,1713258618173.0,1713258626826.0,1713258628649.0,1713258661818.0,6.0,1713258684518.0,1713258691857.0,1713258707389.0,1713258717594.0,1713258726970.0,1713258757275.0
7,7.0,1713258605342.0,1713258618419.0,1713258626479.0,1713258628139.0,1713258659358.0,7.0,1713258684518.0,1713258689864.0,1713258703267.0,1713258710077.0,1713258721422.0,1713258757275.0
8,8.0,1713258605342.0,1713258618566.0,1713258626492.0,1713258628106.0,1713258659255.0,8.0,1713258684518.0,1713258691146.0,1713258706315.0,1713258718424.0,1713258731922.0,1713258757275.0
9,9.0,1713258605342.0,1713258617342.0,1713258626886.0,1713258628922.0,1713258662070.0,9.0,1713258684518.0,1713258689834.0,1713258703836.0,1713258713389.0,1713258721516.0,1713258757275.0
10,10.0,1713258605342.0,1713258617936.0,1713258625342.0,1713258626693.0,1713258647823.0,10.0,1713258684518.0,1713258690510.0,1713258705129.0,1713258715522.0,1713258723850.0,1713258757275.0
11,11.0,1713258605342.0,1713258617262.0,1713258626247.0,1713258627775.0,1713258656968.0,11.0,1713258684518.0,1713258689117.0,1713258703635.0,1713258715696.0,1713258727251.0,1713258757275.0
12,12.0,1713258605342.0,1713258618305.0,1713258626254.0,1713258627756.0,1713258655894.0,12.0,1713258684518.0,1713258691147.0,1713258705706.0,1713258715853.0,1713258724498.0,1713258757275.0
