fn_id,host_submit,init_fn,post_download,pre_shuffle,post_shuffle,pre_upload,end_fn,finished
0,1713778029202,1713778040081,1713778048290,1713778055628,1713778109380,1713778124000,1713778130622,1713778159389
1,1713778029202,1713778040083,1713778052459,1713778074428,1713778104438,1713778113683,1713778119775,1713778159389
2,1713778029202,1713778040083,1713778053140,1713778065942,1713778112722,1713778128113,1713778139133,1713778159389
3,1713778029202,1713778040083,1713778052916,1713778067878,1713778122023,1713778136615,1713778142819,1713778159389
4,1713778029202,1713778040077,1713778052115,1713778073542,1713778120644,1713778133887,1713778141055,1713778159389
5,1713778029202,1713778040077,1713778049537,1713778080426,1713778118247,1713778137043,1713778145030,1713778159389
6,1713778029202,1713778040083,1713778051603,1713778075153,1713778124041,1713778140026,1713778147503,1713778159389
7,1713778029202,1713778040080,1713778052967,1713778067728,1713778105324,1713778124051,1713778133264,1713778159389
8,1713778029202,1713778040077,1713778053951,1713778061365,1713778110784,1713778128596,1713778137235,1713778159389
9,1713778029202,1713778040080,1713778054209,1713778060694,1713778120141,1713778137593,1713778144497,1713778159389
10,1713778029202,1713778040077,1713778053551,1713778063775,1713778107136,1713778122424,1713778129287,1713778159389
11,1713778029202,1713778040085,1713778051078,1713778077413,1713778105697,1713778123521,1713778130452,1713778159389
12,1713778029202,1713778040083,1713778049491,1713778080888,1713778114331,1713778127807,1713778137328,1713778159389
13,1713778029202,1713778040077,1713778053101,1713778067862,1713778108890,1713778121130,1713778132409,1713778159389
14,1713778029202,1713778040083,1713778051030,1713778078145,1713778106588,1713778124295,1713778130938,1713778159389
15,1713778029202,1713778040083,1713778049569,1713778080429,1713778112771,1713778128788,1713778140831,1713778159389
16,1713778029202,1713778040076,1713778052825,1713778068516,1713778115007,1713778134795,1713778142976,1713778159389
17,1713778029202,1713778040084,1713778052669,1713778072797,1713778110197,1713778126007,1713778131328,1713778159389
18,1713778029202,1713778040073,1713778050040,1713778079422,1713778101584,1713778109036,1713778116448,1713778159389
19,1713778029202,1713778040083,1713778049809,1713778080441,1713778109378,1713778127142,1713778135736,1713778159389
20,1713778029202,1713778040084,1713778053222,1713778066639,1713778103563,1713778119007,1713778130842,1713778159389
