fn_id,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,1713258717973,1713258723762,1713258738457,1713258749225,1713258757472,1713258790730
1,1713258717973,1713258724092,1713258738057,1713258745379,1713258752372,1713258790730
2,1713258717973,1713258724028,1713258738513,1713258749134,1713258758039,1713258790730
3,1713258717973,1713258722906,1713258736822,1713258746802,1713258755003,1713258790730
4,1713258717973,1713258724295,1713258739426,1713258749823,1713258759186,1713258790730
5,1713258717973,1713258723402,1713258737549,1713258745844,1713258752890,1713258790730
6,1713258717973,1713258725312,1713258740844,1713258751049,1713258760425,1713258790730
7,1713258717973,1713258723319,1713258736722,1713258743532,1713258754877,1713258790730
8,1713258717973,1713258724601,1713258739770,1713258751879,1713258765377,1713258790730
9,1713258717973,1713258723289,1713258737291,1713258746844,1713258754971,1713258790730
10,1713258717973,1713258723965,1713258738584,1713258748977,1713258757305,1713258790730
11,1713258717973,1713258722572,1713258737090,1713258749151,1713258760706,1713258790730
12,1713258717973,1713258724602,1713258739161,1713258749308,1713258757953,1713258790730
13,1713258717973,1713258722267,1713258735726,1713258743257,1713258756647,1713258790730
14,1713258717973,1713258724937,1713258739518,1713258748420,1713258755172,1713258790730
15,1713258717973,1713258722681,1713258735838,1713258742430,1713258753556,1713258790730
16,1713258717973,1713258724745,1713258739874,1713258751587,1713258764506,1713258790730
17,1713258717973,1713258721762,1713258735148,1713258744670,1713258751101,1713258790730
18,1713258717973,1713258726508,1713258742845,1713258753652,1713258762214,1713258790730
19,1713258717973,1713258722330,1713258735882,1713258743738,1713258749943,1713258790730
20,1713258717973,1713258724946,1713258740337,1713258752814,1713258761897,1713258790730
21,1713258717973,1713258721981,1713258735319,1713258742558,1713258748985,1713258790730
22,1713258717973,1713258725088,1713258739927,1713258747247,1713258754010,1713258790730
23,1713258717973,1713258722068,1713258735011,1713258741184,1713258748736,1713258790730
24,1713258717973,1713258725307,1713258741670,1713258753059,1713258762022,1713258790730
25,1713258717973,1713258721625,1713258734847,1713258744559,1713258752178,1713258790730
26,1713258717973,1713258725496,1713258741399,1713258751232,1713258758576,1713258790730
27,1713258717973,1713258726481,1713258750407,1713258761551,1713258770083,1713258790730
28,1713258717973,1713258726690,1713258742883,1713258751172,1713258758919,1713258790730
29,1713258717973,1713258726362,1713258742994,1713258754661,1713258763079,1713258790730
30,1713258717973,1713258725872,1713258740993,1713258748418,1713258757283,1713258790730
31,1713258717973,1713258725957,1713258742228,1713258753080,1713258764062,1713258790730
32,1713258717973,1713258726832,1713258743925,1713258754252,1713258761811,1713258790730
33,1713258717973,1713258727676,1713258745200,1713258754927,1713258765863,1713258790730
34,1713258717973,1713258727790,1713258744675,1713258751481,1713258758281,1713258790730
35,1713258717973,1713258726940,1713258744343,1713258755594,1713258764196,1713258790730
36,1713258717973,1713258727557,1713258745039,1713258753812,1713258761604,1713258790730
37,1713258717973,1713258727349,1713258743664,1713258750917,1713258758061,1713258790730
38,1713258717973,1713258727093,1713258743569,1713258751803,1713258759789,1713258790730
39,1713258717973,1713258727169,1713258743762,1713258751885,1713258759581,1713258790730
40,1713258717973,1713258727890,1713258746050,1713258757299,1713258769078,1713258790730
41,1713258717973,1713258729106,1713258748210,1713258756589,1713258765581,1713258790730
42,1713258717973,1713258728217,1713258746593,1713258758123,1713258765591,1713258790730
43,1713258717973,1713258728022,1713258746172,1713258757772,1713258768631,1713258790730
44,1713258717973,1713258728808,1713258747531,1713258759459,1713258769142,1713258790730
45,1713258717973,1713258728509,1713258746595,1713258756128,1713258766122,1713258790730
46,1713258717973,1713258728516,1713258747749,1713258759395,1713258769865,1713258790730
47,1713258717973,1713258728879,1713258747311,1713258754954,1713258763284,1713258790730
48,1713258717973,1713258729936,1713258748113,1713258755749,1713258765161,1713258790730
49,1713258717973,1713258729699,1713258748834,1713258759960,1713258769459,1713258790730
50,1713258717973,1713258729157,1713258747898,1713258758881,1713258768365,1713258790730
51,1713258717973,1713258729487,1713258754010,1713258763143,1713258770448,1713258790730
52,1713258717973,1713258729476,1713258747347,1713258754947,1713258761590,1713258790730
53,1713258717973,1713258729740,1713258749503,1713258759768,1713258768877,1713258790730
54,1713258717973,1713258730223,1713258750446,1713258759860,1713258769047,1713258790730
55,1713258717973,1713258730228,1713258748853,1713258756731,1713258764870,1713258790730
56,1713258717973,1713258730440,1713258748348,1713258754933,1713258761089,1713258790730
57,1713258717973,1713258730611,1713258749833,1713258759396,1713258765761,1713258790730
58,1713258717973,1713258730438,1713258749400,1713258757820,1713258763501,1713258790730
59,1713258717973,1713258731562,1713258761792,1713258768536,1713258773079,1713258790730
60,1713258717973,1713258731425,1713258757150,1713258764318,1713258771820,1713258790730
61,1713258717973,1713258731098,1713258759717,1713258769884,1713258776153,1713258790730
62,1713258717973,1713258730855,1713258757469,1713258765209,1713258772289,1713258790730
63,1713258717973,1713258730737,1713258750513,1713258758157,1713258766579,1713258790730
