fn_id,host_submit,init_fn,post_download,pre_shuffle,post_shuffle,pre_upload,end_fn,finished
0,1714039865373,1714039870749,1714039880569,1714039887607,1714039919716,1714039927067,1714039931169,1714039960273
1,1714039865373,1714039870745,1714039877560,1714039879895,1714039916977,1714039926688,1714039932646,1714039960273
2,1714039865373,1714039870753,1714039880781,1714039887701,1714039927712,1714039938859,1714039946369,1714039960273
3,1714039865373,1714039870748,1714039879824,1714039897485,1714039922082,1714039932415,1714039938796,1714039960273
4,1714039865373,1714039870748,1714039882811,1714039885104,1714039924721,1714039936874,1714039944317,1714039960273
5,1714039865373,1714039870748,1714039882342,1714039885237,1714039924611,1714039936050,1714039944182,1714039960273
6,1714039865373,1714039870747,1714039882028,1714039886196,1714039913579,1714039921774,1714039926258,1714039960273
7,1714039865373,1714039870749,1714039880535,1714039887743,1714039919402,1714039929717,1714039937936,1714039960273
8,1714039865373,1714039870752,1714039879577,1714039898769,1714039927361,1714039937543,1714039942450,1714039960273
9,1714039865373,1714039870752,1714039880296,1714039882526,1714039914975,1714039922372,1714039928349,1714039960273
10,1714039865373,1714039870752,1714039877767,1714039879952,1714039914015,1714039923706,1714039932147,1714039960273
11,1714039865373,1714039870752,1714039879537,1714039898809,1714039929716,1714039938188,1714039941937,1714039960273
12,1714039865373,1714039870751,1714039879835,1714039896983,1714039914952,1714039925302,1714039933677,1714039960273
13,1714039865373,1714039870752,1714039882089,1714039886204,1714039933169,1714039943310,1714039950613,1714039960273
14,1714039865373,1714039870751,1714039881789,1714039887536,1714039914448,1714039921207,1714039925265,1714039960273
15,1714039865373,1714039870744,1714039881087,1714039887653,1714039914479,1714039921899,1714039928301,1714039960273
16,1714039865373,1714039870746,1714039883179,1714039886542,1714039933242,1714039943309,1714039947885,1714039960273
17,1714039865373,1714039870746,1714039883686,1714039886328,1714039928924,1714039939806,1714039945508,1714039960273
18,1714039865373,1714039870746,1714039881968,1714039885314,1714039921199,1714039931870,1714039940815,1714039960273
19,1714039865373,1714039870751,1714039881123,1714039887499,1714039915075,1714039926172,1714039934212,1714039960273
20,1714039865373,1714039870746,1714039882739,1714039887650,1714039919084,1714039928170,1714039933438,1714039960273
21,1714039865373,1714039870751,1714039883503,1714039886849,1714039927660,1714039938163,1714039945956,1714039960273
22,1714039865373,1714039870753,1714039878512,1714039880936,1714039925938,1714039935371,1714039941915,1714039960273
23,1714039865373,1714039870751,1714039878638,1714039881305,1714039921308,1714039933277,1714039938273,1714039960273
24,1714039865373,1714039870750,1714039882421,1714039885146,1714039919603,1714039927768,1714039932474,1714039960273
25,1714039865373,1714039870750,1714039881751,1714039887542,1714039924398,1714039936140,1714039944338,1714039960273
26,1714039865373,1714039870750,1714039883589,1714039886101,1714039929624,1714039940141,1714039944724,1714039960273
27,1714039865373,1714039870749,1714039881034,1714039887506,1714039931623,1714039942886,1714039948009,1714039960273
28,1714039865373,1714039870750,1714039883664,1714039886326,1714039910961,1714039915893,1714039921470,1714039960273
29,1714039865373,1714039870749,1714039879877,1714039896296,1714039923367,1714039936340,1714039942481,1714039960273
30,1714039865373,1714039870748,1714039881013,1714039887675,1714039923824,1714039935674,1714039944928,1714039960273
31,1714039865373,1714039870747,1714039880895,1714039887622,1714039923050,1714039929717,1714039933950,1714039960273
