end_fn,init_fn,key,part_number,post_download,post_shuffle,pre_shuffle,pre_upload,fn_id,host_submit
1713779103561,1713779045687,terasort-100g.sorted,0,1713779054652,1713779087013,1713779070071,1713779098387,0,1713779045686
1713779112026,1713779045686,terasort-100g.sorted,1,1713779058692,1713779093736,1713779061136,1713779106900,1,1713779045686
1713779110311,1713779045686,terasort-100g.sorted,2,1713779055986,1713779093183,1713779065474,1713779105253,2,1713779045686
1713779104117,1713779045686,terasort-100g.sorted,3,1713779056586,1713779086764,1713779061093,1713779097679,3,1713779045686
1713779093887,1713779045686,terasort-100g.sorted,4,1713779057570,1713779084117,1713779059566,1713779090411,4,1713779045686
1713779100288,1713779045686,terasort-100g.sorted,5,1713779055195,1713779084035,1713779070094,1713779093988,5,1713779045686
1713779104037,1713779045687,terasort-100g.sorted,6,1713779057739,1713779087050,1713779060913,1713779098076,6,1713779045686
1713779115999,1713779045687,terasort-100g.sorted,7,1713779053013,1713779098739,1713779056305,1713779109818,7,1713779045686
1713779103528,1713779045687,terasort-100g.sorted,8,1713779056401,1713779088659,1713779061111,1713779098255,8,1713779045686
1713779107681,1713779045687,terasort-100g.sorted,9,1713779054933,1713779087869,1713779070373,1713779099117,9,1713779045686
1713779106318,1713779045686,terasort-100g.sorted,10,1713779053073,1713779089445,1713779056362,1713779100469,10,1713779045686
1713779090861,1713779045687,terasort-100g.sorted,11,1713779056668,1713779081134,1713779061105,1713779086120,11,1713779045686
1713779105573,1713779045687,terasort-100g.sorted,12,1713779055860,1713779085961,1713779068525,1713779095835,12,1713779045686
1713779106365,1713779045687,terasort-100g.sorted,13,1713779055133,1713779089480,1713779070410,1713779100539,13,1713779045686
1713779101187,1713779045688,terasort-100g.sorted,14,1713779059273,1713779084667,1713779062195,1713779095479,14,1713779045686
1713779110004,1713779045687,terasort-100g.sorted,15,1713779055738,1713779089204,1713779068512,1713779100976,15,1713779045686
1713779113271,1713779045688,terasort-100g.sorted,16,1713779056106,1713779092050,1713779062735,1713779105296,16,1713779045686
1713779117525,1713779045688,terasort-100g.sorted,17,1713779056386,1713779101712,1713779061571,1713779113118,17,1713779045686
1713779103980,1713779045688,terasort-100g.sorted,18,1713779053959,1713779086900,1713779057032,1713779097823,18,1713779045686
1713779099321,1713779045688,terasort-100g.sorted,19,1713779055287,1713779087528,1713779070071,1713779094845,19,1713779045686
1713779108467,1713779045688,terasort-100g.sorted,20,1713779055486,1713779090289,1713779069795,1713779103375,20,1713779045686
1713779112563,1713779045690,terasort-100g.sorted,21,1713779055961,1713779096168,1713779066428,1713779107206,21,1713779045686
1713779100569,1713779045688,terasort-100g.sorted,22,1713779057541,1713779085763,1713779059930,1713779093205,22,1713779045686
1713779102130,1713779045689,terasort-100g.sorted,23,1713779057770,1713779084936,1713779060802,1713779096113,23,1713779045686
1713779119569,1713779045691,terasort-100g.sorted,24,1713779054667,1713779100598,1713779069800,1713779111584,24,1713779045686
1713779112328,1713779045688,terasort-100g.sorted,25,1713779057925,1713779099345,1713779060413,1713779107977,25,1713779045686
1713779099408,1713779045689,terasort-100g.sorted,26,1713779053614,1713779085054,1713779056840,1713779092643,26,1713779045686
1713779108441,1713779045689,terasort-100g.sorted,27,1713779055904,1713779091078,1713779067530,1713779101071,27,1713779045686
1713779098555,1713779045690,terasort-100g.sorted,28,1713779055418,1713779085778,1713779069810,1713779093791,28,1713779045686
1713779114976,1713779045688,terasort-100g.sorted,29,1713779053860,1713779090268,1713779070399,1713779104296,29,1713779045686
1713779102835,1713779045689,terasort-100g.sorted,30,1713779057433,1713779088424,1713779061157,1713779097608,30,1713779045686
1713779102318,1713779045690,terasort-100g.sorted,31,1713779056374,1713779086654,1713779061444,1713779096952,31,1713779045686
1713779108067,1713779045689,terasort-100g.sorted,32,1713779051193,1713779091074,1713779052727,1713779102956,32,1713779045686
1713779107027,1713779045690,terasort-100g.sorted,33,1713779056407,1713779090833,1713779061056,1713779101046,33,1713779045686
1713779099248,1713779045688,terasort-100g.sorted,34,1713779052641,1713779083443,1713779055526,1713779093733,34,1713779045686
