benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,DragonflyList,pairs-1-run-1,2,2,1,true,1048576,1073741824,0,0,326.84326707255406,1707915667.073,1707915670.206
Pair,DragonflyList,pairs-1-run-2,2,2,1,true,1048576,1073741824,0,0,365.97568420292913,1707915678.211,1707915681.009
Pair,DragonflyList,pairs-1-run-3,2,2,1,true,1048576,1073741824,0,0,327.57518353883654,1707915689.012,1707915692.138
Pair,DragonflyList,pairs-1-run-4,2,2,1,true,1048576,1073741824,0,0,335.2979545888353,1707915700.155,1707915703.209
Pair,DragonflyList,pairs-1-run-5,2,2,1,true,1048576,1073741824,0,0,313.24563575126285,1707915710.993,1707915714.262
Pair,DragonflyList,pairs-1-run-6,2,2,1,true,1048576,1073741824,0,0,378.6982253863236,1707915722.494,1707915725.198
Pair,DragonflyList,pairs-1-run-7,2,2,1,true,1048576,1073741824,0,0,333.5504958524097,1707915733.061,1707915736.131
Pair,DragonflyList,pairs-1-run-8,2,2,1,true,1048576,1073741824,0,0,330.9631436790914,1707915744.142,1707915747.236
Pair,DragonflyList,pairs-1-run-9,2,2,1,true,1048576,1073741824,0,0,324.25585892143,1707915755.123,1707915758.281
Pair,DragonflyList,pairs-1-run-10,2,2,1,true,1048576,1073741824,0,0,341.90315780021575,1707915766.306,1707915769.301
Pair,DragonflyList,pairs-1-run-1,2,2,1,true,1048576,1073741824,1,1,463.5581979353533,1707915667.085,1707915669.294
Pair,DragonflyList,pairs-1-run-2,2,2,1,true,1048576,1073741824,1,1,471.45489519900485,1707915678.219,1707915680.391
Pair,DragonflyList,pairs-1-run-3,2,2,1,true,1048576,1073741824,1,1,465.4545353660901,1707915689.007,1707915691.207
Pair,DragonflyList,pairs-1-run-4,2,2,1,true,1048576,1073741824,1,1,462.7202768370377,1707915700.059,1707915702.272
Pair,DragonflyList,pairs-1-run-5,2,2,1,true,1048576,1073741824,1,1,465.87808067616294,1707915711.096,1707915713.294
Pair,DragonflyList,pairs-1-run-6,2,2,1,true,1048576,1073741824,1,1,473.4165798913371,1707915722.41,1707915724.573
Pair,DragonflyList,pairs-1-run-7,2,2,1,true,1048576,1073741824,1,1,463.55814790326576,1707915732.962,1707915735.171
Pair,DragonflyList,pairs-1-run-8,2,2,1,true,1048576,1073741824,1,1,469.29424230037444,1707915744.148,1707915746.33
Pair,DragonflyList,pairs-1-run-9,2,2,1,true,1048576,1073741824,1,1,462.0938461111414,1707915755.128,1707915757.344
Pair,DragonflyList,pairs-1-run-10,2,2,1,true,1048576,1073741824,1,1,474.2936720680974,1707915766.309,1707915768.468
Pair,DragonflyList,pairs-1-run-1,2,2,1,true,134217728,1073741824,0,0,185.84392046685042,1707916257.86,1707916263.37
Pair,DragonflyList,pairs-1-run-2,2,2,1,true,134217728,1073741824,0,0,186.793137354889,1707916271.429,1707916276.911
Pair,DragonflyList,pairs-1-run-3,2,2,1,true,134217728,1073741824,0,0,186.75907213559952,1707916284.694,1707916290.177
Pair,DragonflyList,pairs-1-run-4,2,2,1,true,134217728,1073741824,0,0,185.20527977486455,1707916298.087,1707916303.616
Pair,DragonflyList,pairs-1-run-5,2,2,1,true,134217728,1073741824,0,0,193.9026649065558,1707916311.554,1707916316.835
Pair,DragonflyList,pairs-1-run-6,2,2,1,true,134217728,1073741824,0,0,189.73503536895618,1707916325.256,1707916330.653
Pair,DragonflyList,pairs-1-run-7,2,2,1,true,134217728,1073741824,0,0,185.7764848347273,1707916338.579,1707916344.091
Pair,DragonflyList,pairs-1-run-8,2,2,1,true,134217728,1073741824,0,0,192.0120027415678,1707916352.092,1707916357.425
Pair,DragonflyList,pairs-1-run-9,2,2,1,true,134217728,1073741824,0,0,189.6296346530994,1707916365.45,1707916370.85
Pair,DragonflyList,pairs-1-run-10,2,2,1,true,134217728,1073741824,0,0,189.24413185609282,1707916378.779,1707916384.19
Pair,DragonflyList,pairs-1-run-1,2,2,1,true,134217728,1073741824,1,1,250.85742177700808,1707916257.962,1707916262.044
