benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,65536,1073741824,0,0,163.213256711061,1707911119.998,1707911126.272
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,65536,1073741824,0,0,172.39057072992128,1707911134.237,1707911140.177
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,65536,1073741824,0,0,159.97500333361393,1707911148.108,1707911154.509
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,65536,1073741824,0,0,158.48939876819404,1707911162.561,1707911169.022
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,65536,1073741824,0,0,150.27883482666263,1707911177.346,1707911184.16
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,65536,1073741824,0,0,129.12988541988022,1707911192.093,1707911200.023
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,65536,1073741824,0,0,132.40237966034877,1707911207.993,1707911215.727
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,65536,1073741824,0,0,148.01965922823445,1707911223.706,1707911230.624
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,65536,1073741824,0,0,153.47721980492273,1707911238.997,1707911245.669
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,65536,1073741824,0,0,135.70103359161698,1707911253.625,1707911261.171
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,1048576,1073741824,0,0,340.4255165887566,1707911391.133,1707911394.141
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,1048576,1073741824,0,0,333.11647345247025,1707911402.15,1707911405.224
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,1048576,1073741824,0,0,337.6195194776896,1707911413.093,1707911416.126
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,1048576,1073741824,0,0,327.3657267044737,1707911424.008,1707911427.136
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,1048576,1073741824,0,0,327.68,1707911435.008,1707911438.133
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,1048576,1073741824,0,0,354.44791333810446,1707911446.357,1707911449.246
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,1048576,1073741824,0,0,317.0278619050072,1707911457.229,1707911460.459
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,1048576,1073741824,0,0,318.9037717062261,1707911468.345,1707911471.556
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,1048576,1073741824,0,0,367.15671385143656,1707911479.433,1707911482.222
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,1048576,1073741824,0,0,334.31276921820734,1707911490.313,1707911493.376
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,1048576,1073741824,1,1,423.14048252766247,1707911391.047,1707911393.467
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,1048576,1073741824,1,1,427.2006967353263,1707911402.157,1707911404.554
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,1048576,1073741824,1,1,435.37415001292953,1707911413.101,1707911415.453
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,1048576,1073741824,1,1,435.18913402985066,1707911424.117,1707911426.47
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,1048576,1073741824,1,1,430.0714340573308,1707911435.117,1707911437.498
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,1048576,1073741824,1,1,432.7979827731991,1707911446.377,1707911448.743
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,1048576,1073741824,1,1,490.18669533015725,1707911457.238,1707911459.327
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,1048576,1073741824,1,1,408.1307579183671,1707911468.357,1707911470.866
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,1048576,1073741824,1,1,543.2360770189406,1707911479.433,1707911481.318
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,1048576,1073741824,1,1,425.95673099571394,1707911490.228,1707911492.632
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,134217728,1073741824,0,0,224.4629530612773,1707911824.462,1707911829.024
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,134217728,1073741824,0,0,229.2879493130438,1707911837.044,1707911841.51
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,134217728,1073741824,0,0,225.79933420495868,1707911849.422,1707911853.957
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,134217728,1073741824,0,0,225.05494741350685,1707911861.891,1707911866.441
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,134217728,1073741824,0,0,226.5486735223613,1707911874.38,1707911878.9
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,134217728,1073741824,0,0,223.9230287011552,1707911887.276,1707911891.849
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,134217728,1073741824,0,0,224.906656271833,1707911899.803,1707911904.356
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,134217728,1073741824,0,0,229.9057029360172,1707911912.404,1707911916.858
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,134217728,1073741824,0,0,224.7092306336838,1707911924.906,1707911929.463
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,134217728,1073741824,0,0,227.75801658642487,1707911937.505,1707911942.001
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,134217728,1073741824,1,1,276.9064393390403,1707911824.464,1707911828.162
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,134217728,1073741824,1,1,277.5067707644811,1707911836.944,1707911840.634
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,134217728,1073741824,1,1,277.9587393481776,1707911849.401,1707911853.085
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,134217728,1073741824,1,1,277.88331503408705,1707911861.884,1707911865.569
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,134217728,1073741824,1,1,278.41218255421626,1707911874.353,1707911878.031
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,134217728,1073741824,1,1,276.831584951849,1707911887.276,1707911890.975
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,134217728,1073741824,1,1,277.65726953964077,1707911899.796,1707911903.484
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,134217728,1073741824,1,1,277.5067707644811,1707911912.294,1707911915.984
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,134217728,1073741824,1,1,277.7325711784855,1707911924.914,1707911928.601
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,134217728,1073741824,1,1,274.6044624108384,1707911937.397,1707911941.126
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,268435456,1073741824,0,0,243.1726450602399,1707912154.944,1707912159.155
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,268435456,1073741824,0,0,237.31170021342191,1707912167.072,1707912171.387
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,268435456,1073741824,0,0,239.14058488831577,1707912179.3,1707912183.582
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,268435456,1073741824,0,0,233.36371862565272,1707912191.452,1707912195.84
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,268435456,1073741824,0,0,244.91748419072687,1707912203.849,1707912208.03
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,268435456,1073741824,0,0,239.5882117239577,1707912216.244,1707912220.518
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,268435456,1073741824,0,0,242.82665358012324,1707912228.416,1707912232.633
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,268435456,1073741824,0,0,243.46172996209677,1707912240.565,1707912244.771
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,268435456,1073741824,0,0,238.13953752450652,1707912252.72,1707912257.02
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,268435456,1073741824,0,0,234.86239097202875,1707912265.003,1707912269.363
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,268435456,1073741824,1,1,343.6241588744595,1707912154.845,1707912157.825
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,268435456,1073741824,1,1,342.4749152956203,1707912167.072,1707912170.062
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,268435456,1073741824,1,1,344.78114145984256,1707912179.296,1707912182.266
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,268435456,1073741824,1,1,346.29692054630345,1707912191.576,1707912194.533
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,268435456,1073741824,1,1,345.5956731575044,1707912203.751,1707912206.714
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,268435456,1073741824,1,1,345.82911579638653,1707912216.217,1707912219.178
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,268435456,1073741824,1,1,343.6241588744595,1707912228.325,1707912231.305
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,268435456,1073741824,1,1,344.549111016414,1707912240.461,1707912243.433
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,268435456,1073741824,1,1,345.5956731575044,1707912252.721,1707912255.684
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,268435456,1073741824,1,1,343.97044026068914,1707912265.061,1707912268.038
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,65536,1073741824,1,1,177.87041219742284,1707911120.008,1707911125.765
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,65536,1073741824,1,1,195.756071583732,1707911134.233,1707911139.464
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,65536,1073741824,1,1,184.23893986348025,1707911148.108,1707911153.666
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,65536,1073741824,1,1,183.8090155435137,1707911162.552,1707911168.123
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,65536,1073741824,1,1,171.86975654693703,1707911177.425,1707911183.383
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,65536,1073741824,1,1,193.93939499027474,1707911192.096,1707911197.376
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,65536,1073741824,1,1,190.05196693114846,1707911207.983,1707911213.371
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,65536,1073741824,1,1,170.24106778547542,1707911223.808,1707911229.823
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,65536,1073741824,1,1,183.02055313024843,1707911239.016,1707911244.611
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,65536,1073741824,1,1,168.72631389595324,1707911253.535,1707911259.604
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,67108864,1073741824,0,0,235.29411775018104,1707911601.089,1707911605.441
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,67108864,1073741824,0,0,235.89035644869554,1707911613.41,1707911617.751
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,67108864,1073741824,0,0,230.786565615592,1707911625.668,1707911630.105
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,67108864,1073741824,0,0,237.4217501980234,1707911637.913,1707911642.226
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,67108864,1073741824,0,0,230.26759474953718,1707911650.124,1707911654.571
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,67108864,1073741824,0,0,230.786565615592,1707911662.725,1707911667.162
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,67108864,1073741824,0,0,235.61894941565507,1707911675.166,1707911679.512
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,67108864,1073741824,0,0,235.89034349300732,1707911687.402,1707911691.743
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,67108864,1073741824,0,0,236.76300317000238,1707911699.777,1707911704.102
Pair,DragonflyStream,pairs-1-run-10,2,2,1,true,67108864,1073741824,0,0,234.59336854390855,1707911712.005,1707911716.37
Pair,DragonflyStream,pairs-1-run-1,2,2,1,true,67108864,1073741824,1,1,358.16719538773873,1707911601.081,1707911603.94
Pair,DragonflyStream,pairs-1-run-2,2,2,1,true,67108864,1073741824,1,1,358.9204139942422,1707911613.409,1707911616.262
Pair,DragonflyStream,pairs-1-run-3,2,2,1,true,67108864,1073741824,1,1,358.6689993551425,1707911625.758,1707911628.613
Pair,DragonflyStream,pairs-1-run-4,2,2,1,true,67108864,1073741824,1,1,359.92969761066036,1707911637.892,1707911640.737
Pair,DragonflyStream,pairs-1-run-5,2,2,1,true,67108864,1073741824,1,1,358.9204439883878,1707911650.22,1707911653.073
Pair,DragonflyStream,pairs-1-run-6,2,2,1,true,67108864,1073741824,1,1,355.4321364406366,1707911662.805,1707911665.686
Pair,DragonflyStream,pairs-1-run-7,2,2,1,true,67108864,1073741824,1,1,357.4171017771047,1707911675.156,1707911678.021
Pair,DragonflyStream,pairs-1-run-8,2,2,1,true,67108864,1073741824,1,1,357.54188920246077,1707911687.389,1707911690.253
Pair,DragonflyStream,pairs-1-run-9,2,2,1,true,67108864,1073741824,1,1,357.9168046677707,1707911699.757,1707911702.618
