benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,BurstMessageRelay,pairs-1-run-4,2,2,1,true,65536,1073741824,0,0,180.44053015049778,1707730358.907,1707730364.582
Pair,BurstMessageRelay,pairs-1-run-8,2,2,1,true,134217728,1073741824,0,0,323.2323006578486,1707731245.36,1707731248.528
Pair,BurstMessageRelay,pairs-1-run-8,2,2,1,true,134217728,1073741824,1,1,421.052645117953,1707731245.44,1707731247.872
Pair,BurstMessageRelay,pairs-1-run-6,2,2,1,true,1048576,1073741824,0,0,438.54389005176796,1707730761.747,1707730764.082
Pair,BurstMessageRelay,pairs-1-run-6,2,2,1,true,1048576,1073741824,1,1,800.6254612019912,1707730761.564,1707730762.843
Pair,BurstMessageRelay,pairs-1-run-8,2,2,1,true,1048576,1073741824,0,0,406.34920942480005,1707730783.655,1707730786.175
Pair,BurstMessageRelay,pairs-1-run-8,2,2,1,true,1048576,1073741824,1,1,800.0000178813939,1707730783.655,1707730784.935
Pair,BurstMessageRelay,pairs-1-run-2,2,2,1,true,1048576,1073741824,0,0,432.98097076988233,1707730716.924,1707730719.289
Pair,BurstMessageRelay,pairs-1-run-2,2,2,1,true,1048576,1073741824,1,1,800.0000178813939,1707730716.769,1707730718.049
Pair,BurstMessageRelay,pairs-1-run-1,2,2,1,true,67108864,1073741824,0,0,370.0758998276614,1707730934.355,1707730937.122
Pair,BurstMessageRelay,pairs-1-run-1,2,2,1,true,67108864,1073741824,1,1,485.76849171863034,1707730934.348,1707730936.456
Pair,BurstMessageRelay,pairs-1-run-2,2,2,1,true,134217728,1073741824,0,0,331.0701653636766,1707731174.934,1707731178.027
Pair,BurstMessageRelay,pairs-1-run-2,2,2,1,true,134217728,1073741824,1,1,420.87955736656545,1707731174.934,1707731177.367
Pair,BurstMessageRelay,pairs-1-run-7,2,2,1,true,134217728,1073741824,1,1,420.5338907856847,1707731234.035,1707731236.47
Pair,BurstMessageRelay,pairs-1-run-4,2,2,1,true,134217728,1073741824,1,1,421.052645117953,1707731198.164,1707731200.596
Pair,BurstMessageRelay,pairs-1-run-3,2,2,1,true,65536,1073741824,0,0,99.51409171974358,1707730339.21,1707730349.5
Pair,BurstMessageRelay,pairs-1-run-3,2,2,1,true,65536,1073741824,1,1,176.21751520251772,1707730339.211,1707730345.022
Pair,BurstMessageRelay,pairs-1-run-10,2,2,1,true,67108864,1073741824,0,0,341.90315780021575,1707731037.429,1707731040.424
Pair,BurstMessageRelay,pairs-1-run-10,2,2,1,true,67108864,1073741824,1,1,485.99902482619603,1707731037.646,1707731039.753
Pair,BurstMessageRelay,pairs-1-run-7,2,2,1,true,134217728,1073741824,0,0,305.76289462490365,1707731233.781,1707731237.13
Pair,BurstMessageRelay,pairs-1-run-5,2,2,1,true,65536,1073741824,0,0,94.98191141417489,1707730373.014,1707730383.795
Pair,BurstMessageRelay,pairs-1-run-5,2,2,1,true,65536,1073741824,1,1,191.50926169473922,1707730373.015,1707730378.362
Pair,BurstMessageRelay,pairs-1-run-10,2,2,1,true,65536,1073741824,0,0,100.98619462358103,1707730474.335,1707730484.475
Pair,BurstMessageRelay,pairs-1-run-10,2,2,1,true,65536,1073741824,1,1,198.91219883850138,1707730474.479,1707730479.627
Pair,BurstMessageRelay,pairs-1-run-10,2,2,1,true,1048576,1073741824,0,0,386.2693289924544,1707730805.645,1707730808.296
Pair,BurstMessageRelay,pairs-1-run-10,2,2,1,true,1048576,1073741824,1,1,800.6254612019912,1707730805.78,1707730807.059
Pair,BurstMessageRelay,pairs-1-run-4,2,2,1,true,67108864,1073741824,0,0,369.00902803141076,1707730969.427,1707730972.202
Pair,BurstMessageRelay,pairs-1-run-4,2,2,1,true,67108864,1073741824,1,1,485.9990798196483,1707730969.426,1707730971.533
Pair,BurstMessageRelay,pairs-1-run-3,2,2,1,true,67108864,1073741824,0,0,385.978155716726,1707730957.013,1707730959.666
Pair,BurstMessageRelay,pairs-1-run-3,2,2,1,true,67108864,1073741824,1,1,484.6190443307377,1707730956.894,1707730959.007
Pair,BurstMessageRelay,pairs-1-run-2,2,2,1,true,67108864,1073741824,0,0,368.87610933141707,1707730945.788,1707730948.564
Pair,BurstMessageRelay,pairs-1-run-2,2,2,1,true,67108864,1073741824,1,1,485.76849171863034,1707730945.79,1707730947.898
Pair,BurstMessageRelay,pairs-1-run-9,2,2,1,true,65536,1073741824,0,0,84.335365127491,1707730453.889,1707730466.031
Pair,BurstMessageRelay,pairs-1-run-9,2,2,1,true,65536,1073741824,1,1,238.8059774786734,1707730453.834,1707730458.122
Pair,BurstMessageRelay,pairs-1-run-9,2,2,1,true,67108864,1073741824,0,0,370.2096847418576,1707731026.333,1707731029.099
Pair,BurstMessageRelay,pairs-1-run-9,2,2,1,true,67108864,1073741824,1,1,485.53817721362725,1707731026.326,1707731028.435
Pair,BurstMessageRelay,pairs-1-run-5,2,2,1,true,1048576,1073741824,0,0,376.33223686487537,1707730750.26,1707730752.981
Pair,BurstMessageRelay,pairs-1-run-5,2,2,1,true,1048576,1073741824,1,1,800.0000178813939,1707730750.458,1707730751.738
