benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,RedisStream,pairs-1-run-1,2,2,1,true,65536,1073741824,0,0,116.89497729620975,1707389211.68,1707389220.44
Pair,RedisStream,pairs-1-run-2,2,2,1,true,65536,1073741824,0,0,89.85609057797217,1707389228.756,1707389240.152
Pair,RedisStream,pairs-1-run-3,2,2,1,true,65536,1073741824,0,0,68.57295990977103,1707389248.121,1707389263.054
Pair,RedisStream,pairs-1-run-4,2,2,1,true,65536,1073741824,0,0,71.18526247333163,1707389271.027,1707389285.412
Pair,RedisStream,pairs-1-run-5,2,2,1,true,65536,1073741824,0,0,98.21599959734564,1707389293.506,1707389303.932
Pair,RedisStream,pairs-1-run-6,2,2,1,true,65536,1073741824,0,0,74.96339630789458,1707389311.77,1707389325.43
Pair,RedisStream,pairs-1-run-7,2,2,1,true,65536,1073741824,0,0,72.7272718898521,1707389333.471,1707389347.551
Pair,RedisStream,pairs-1-run-8,2,2,1,true,65536,1073741824,0,0,88.70408939292379,1707389355.687,1707389367.231
Pair,RedisStream,pairs-1-run-9,2,2,1,true,65536,1073741824,0,0,177.96315028416726,1707389375.08,1707389380.834
Pair,RedisStream,pairs-1-run-10,2,2,1,true,65536,1073741824,0,0,81.88069855157757,1707389388.663,1707389401.169
Pair,RedisStream,pairs-1-run-1,2,2,1,true,1048576,1073741824,0,0,246.7469822815359,1707389478.355,1707389482.505
Pair,RedisStream,pairs-1-run-2,2,2,1,true,1048576,1073741824,0,0,250.42797831831115,1707389490.999,1707389495.088
Pair,RedisStream,pairs-1-run-3,2,2,1,true,1048576,1073741824,0,0,240.71461095570874,1707389502.939,1707389507.193
Pair,RedisStream,pairs-1-run-4,2,2,1,true,1048576,1073741824,0,0,240.65804288105116,1707389515.106,1707389519.361
Pair,RedisStream,pairs-1-run-5,2,2,1,true,1048576,1073741824,0,0,234.97016764305403,1707389527.378,1707389531.736
Pair,RedisStream,pairs-1-run-6,2,2,1,true,1048576,1073741824,0,0,256.83471355386007,1707389539.595,1707389543.582
Pair,RedisStream,pairs-1-run-7,2,2,1,true,1048576,1073741824,0,0,244.74187291241284,1707389551.647,1707389555.831
Pair,RedisStream,pairs-1-run-8,2,2,1,true,1048576,1073741824,0,0,237.69730249417486,1707389563.557,1707389567.865
Pair,RedisStream,pairs-1-run-9,2,2,1,true,1048576,1073741824,0,0,244.0419528073249,1707389575.732,1707389579.928
Pair,RedisStream,pairs-1-run-10,2,2,1,true,1048576,1073741824,0,0,245.97646706035036,1707389587.914,1707389592.077
Pair,RedisStream,pairs-1-run-1,2,2,1,true,1048576,1073741824,1,1,281.39599262848265,1707389478.349,1707389481.988
Pair,RedisStream,pairs-1-run-2,2,2,1,true,1048576,1073741824,1,1,279.0951281056393,1707389490.901,1707389494.57
Pair,RedisStream,pairs-1-run-3,2,2,1,true,1048576,1073741824,1,1,273.65044677040953,1707389502.934,1707389506.676
Pair,RedisStream,pairs-1-run-4,2,2,1,true,1048576,1073741824,1,1,272.92110194370235,1707389515.089,1707389518.841
Pair,RedisStream,pairs-1-run-5,2,2,1,true,1048576,1073741824,1,1,271.54601560879877,1707389527.446,1707389531.217
Pair,RedisStream,pairs-1-run-6,2,2,1,true,1048576,1073741824,1,1,286.35346954706006,1707389539.489,1707389543.065
Pair,RedisStream,pairs-1-run-7,2,2,1,true,1048576,1073741824,1,1,270.68464236456776,1707389551.532,1707389555.315
Pair,RedisStream,pairs-1-run-8,2,2,1,true,1048576,1073741824,1,1,276.3832537628789,1707389563.643,1707389567.348
Pair,RedisStream,pairs-1-run-9,2,2,1,true,1048576,1073741824,1,1,278.48789427572365,1707389575.731,1707389579.408
Pair,RedisStream,pairs-1-run-10,2,2,1,true,1048576,1073741824,1,1,277.5819907827859,1707389587.873,1707389591.562
Pair,RedisStream,pairs-1-run-1,2,2,1,true,134217728,1073741824,0,0,207.75005490060715,1707390415.071,1707390420.0
Pair,RedisStream,pairs-1-run-2,2,2,1,true,134217728,1073741824,0,0,207.87657835547418,1707390428.493,1707390433.419
Pair,RedisStream,pairs-1-run-3,2,2,1,true,134217728,1073741824,0,0,211.4828579897798,1707390441.417,1707390446.259
Pair,RedisStream,pairs-1-run-4,2,2,1,true,134217728,1073741824,0,0,207.11974086060908,1707390454.21,1707390459.154
