fn_id,host_submit,init_fn,post_download,pre_shuffle,post_shuffle,pre_upload,end_fn,finished
0,1714039997898,1714040001437,1714040010080,1714040028444,1714040061150,1714040071301,1714040076592,1714040091830
1,1714039997898,1714040001437,1714040010520,1714040026224,1714040061209,1714040071944,1714040077409,1714040091830
2,1714039997898,1714040001437,1714040012569,1714040018952,1714040052585,1714040061767,1714040066202,1714040091830
3,1714039997898,1714040001437,1714040013871,1714040016650,1714040051241,1714040062161,1714040071183,1714040091830
4,1714039997898,1714040001440,1714040012736,1714040018507,1714040054085,1714040062030,1714040069164,1714040091830
5,1714039997898,1714040001439,1714040009406,1714040012104,1714040063506,1714040073527,1714040078637,1714040091830
6,1714039997898,1714040001439,1714040010399,1714040027499,1714040060949,1714040068614,1714040075431,1714040091830
7,1714039997898,1714040001437,1714040013384,1714040016612,1714040050309,1714040060235,1714040064840,1714040091830
8,1714039997898,1714040001439,1714040013535,1714040016701,1714040050619,1714040060422,1714040065015,1714040091830
9,1714039997898,1714040001440,1714040014124,1714040016362,1714040058051,1714040072045,1714040081981,1714040091830
10,1714039997898,1714040001435,1714040011626,1714040022634,1714040050142,1714040059778,1714040067664,1714040091830
11,1714039997898,1714040001436,1714040011901,1714040014367,1714040058617,1714040067969,1714040073435,1714040091830
12,1714039997898,1714040001436,1714040011979,1714040022957,1714040044967,1714040053331,1714040057999,1714040091830
13,1714039997898,1714040001435,1714040009275,1714040012107,1714040047836,1714040055846,1714040063216,1714040091830
14,1714039997898,1714040001438,1714040012370,1714040019518,1714040051838,1714040060681,1714040068767,1714040091830
15,1714039997898,1714040001439,1714040008982,1714040012154,1714040060878,1714040070047,1714040077679,1714040091830
16,1714039997898,1714040001435,1714040011565,1714040018870,1714040047511,1714040058335,1714040066556,1714040091830
17,1714039997898,1714040001440,1714040009536,1714040028350,1714040060283,1714040068238,1714040072633,1714040091830
18,1714039997898,1714040001438,1714040012240,1714040022908,1714040040577,1714040044709,1714040047934,1714040091830
19,1714039997898,1714040001438,1714040011103,1714040026492,1714040061251,1714040069961,1714040074716,1714040091830
20,1714039997898,1714040001440,1714040008640,1714040012184,1714040064326,1714040074183,1714040083738,1714040091830
21,1714039997898,1714040001440,1714040013012,1714040018123,1714040064368,1714040074439,1714040079684,1714040091830
22,1714039997898,1714040001438,1714040012704,1714040018503,1714040057194,1714040069773,1714040075286,1714040091830
23,1714039997898,1714040001433,1714040011451,1714040022668,1714040045248,1714040055366,1714040063328,1714040091830
24,1714039997898,1714040001438,1714040013605,1714040016664,1714040045193,1714040053658,1714040059077,1714040091830
25,1714039997898,1714040001436,1714040014279,1714040016609,1714040049620,1714040057980,1714040065309,1714040091830
26,1714039997898,1714040001433,1714040010551,1714040013800,1714040064534,1714040073568,1714040081934,1714040091830
27,1714039997898,1714040001434,1714040015380,1714040018897,1714040048937,1714040057794,1714040062927,1714040091830
28,1714039997898,1714040001437,1714040012409,1714040019790,1714040047825,1714040056079,1714040063164,1714040091830
29,1714039997898,1714040001431,1714040009898,1714040028654,1714040055708,1714040063421,1714040067630,1714040091830
30,1714039997898,1714040001431,1714040010776,1714040026169,1714040054087,1714040063855,1714040068649,1714040091830
31,1714039997898,1714040001432,1714040011225,1714040025660,1714040045317,1714040055622,1714040064333,1714040091830
32,1714039997898,1714040001440,1714040009126,1714040012102,1714040050825,1714040061402,1714040066436,1714040091830
33,1714039997898,1714040001432,1714040013762,1714040016654,1714040052531,1714040063292,1714040068838,1714040091830
34,1714039997898,1714040001434,1714040013909,1714040016621,1714040042158,1714040047877,1714040053775,1714040091830
35,1714039997898,1714040001434,1714040011420,1714040026235,1714040062697,1714040071910,1714040076922,1714040091830
36,1714039997898,1714040001432,1714040012859,1714040017855,1714040053314,1714040063839,1714040072304,1714040091830
37,1714039997898,1714040001432,1714040013359,1714040018198,1714040064961,1714040073818,1714040079309,1714040091830
38,1714039997898,1714040001433,1714040010537,1714040025573,1714040064238,1714040074594,1714040079423,1714040091830
39,1714039997898,1714040001431,1714040012516,1714040018980,1714040059922,1714040070279,1714040075457,1714040091830
40,1714039997898,1714040001434,1714040009660,1714040027540,1714040049139,1714040059723,1714040068869,1714040091830
41,1714039997898,1714040001436,1714040008193,1714040010456,1714040064056,1714040073612,1714040078808,1714040091830
42,1714039997898,1714040001431,1714040009424,1714040012121,1714040050826,1714040059872,1714040067372,1714040091830
43,1714039997898,1714040001431,1714040012306,1714040019420,1714040048661,1714040059728,1714040065841,1714040091830
