xx,fn_id,host_submit_map,init_fn_map,post_download_map,pre_upload_map,end_fn_map,yy,host_submit_reduce,init_fn_reduce,post_download_reduce,pre_upload_reduce,end_fn_reduce,finished
0,0.0,1714053540802.0,1714053551515.0,1714053559225.0,1714053560918.0,1714053577138.0,0.0,1714053620428.0,1714053627007.0,1714053641918.0,1714053653127.0,1714053662469.0,1714053688988.0
1,1.0,1714053540802.0,1714053550777.0,1714053560223.0,1714053562087.0,1714053580258.0,1.0,1714053620428.0,1714053627598.0,1714053642550.0,1714053650277.0,1714053659479.0,1714053688988.0
2,2.0,1714053540802.0,1714053551352.0,1714053559102.0,1714053560747.0,1714053576882.0,2.0,1714053620428.0,1714053625986.0,1714053639537.0,1714053650194.0,1714053661571.0,1714053688988.0
3,3.0,1714053540802.0,1714053551060.0,1714053560548.0,1714053562409.0,1714053580593.0,3.0,1714053620428.0,1714053627198.0,1714053640701.0,1714053647377.0,1714053654612.0,1714053688988.0
4,4.0,1714053540802.0,1714053551944.0,1714053560350.0,1714053562254.0,1714053579442.0,4.0,1714053620428.0,1714053625040.0,1714053638669.0,1714053648849.0,1714053657102.0,1714053688988.0
5,5.0,1714053540802.0,1714053551702.0,1714053559063.0,1714053560628.0,1714053576923.0,5.0,1714053620428.0,1714053624741.0,1714053638171.0,1714053649065.0,1714053661106.0,1714053688988.0
6,6.0,1714053540802.0,1714053551273.0,1714053559581.0,1714053561188.0,1714053578313.0,6.0,1714053620428.0,1714053627484.0,1714053641888.0,1714053651679.0,1714053659543.0,1714053688988.0
7,7.0,1714053540802.0,1714053550692.0,1714053559479.0,1714053561146.0,1714053578400.0,7.0,1714053620428.0,1714053626661.0,1714053640900.0,1714053650249.0,1714053658183.0,1714053688988.0
8,8.0,1714053540802.0,1714053552581.0,1714053560907.0,1714053562778.0,1714053580963.0,8.0,1714053620428.0,1714053628448.0,1714053643608.0,1714053652140.0,1714053662646.0,1714053688988.0
9,9.0,1714053540802.0,1714053550450.0,1714053558841.0,1714053560249.0,1714053575411.0,9.0,1714053620428.0,1714053625577.0,1714053639022.0,1714053648944.0,1714053655987.0,1714053688988.0
10,10.0,1714053540802.0,1714053551924.0,1714053559279.0,1714053560993.0,1714053577189.0,10.0,1714053620428.0,1714053628258.0,1714053644219.0,1714053652735.0,1714053660304.0,1714053688988.0
11,11.0,1714053540802.0,1714053550309.0,1714053558229.0,1714053559692.0,1714053572860.0,11.0,1714053620428.0,1714053625043.0,1714053638090.0,1714053646150.0,1714053653270.0,1714053688988.0
12,12.0,1714053540802.0,1714053551058.0,1714053559551.0,1714053561158.0,1714053578355.0,12.0,1714053620428.0,1714053627752.0,1714053650617.0,1714053659480.0,1714053668844.0,1714053688988.0
13,13.0,1714053540802.0,1714053550032.0,1714053558397.0,1714053559899.0,1714053574048.0,13.0,1714053620428.0,1714053626518.0,1714053640443.0,1714053648723.0,1714053654965.0,1714053688988.0
14,14.0,1714053540802.0,1714053550302.0,1714053557850.0,1714053559257.0,1714053570442.0,14.0,1714053620428.0,1714053626554.0,1714053640302.0,1714053648610.0,1714053656195.0,1714053688988.0
15,15.0,1714053540802.0,1714053546800.0,1714053554586.0,1714053555833.0,1714053563041.0,15.0,1714053620428.0,1714053624573.0,1714053638514.0,1714053650276.0,1714053660483.0,1714053688988.0
16,16.0,1714053540802.0,1714053548048.0,1714053556582.0,1714053558071.0,1714053565231.0,16.0,1714053620428.0,1714053628884.0,1714053645152.0,1714053656577.0,1714053668843.0,1714053688988.0
17,17.0,1714053540802.0,1714053549784.0,1714053558367.0,1714053559797.0,1714053573927.0,17.0,1714053620428.0,1714053625300.0,1714053639347.0,1714053649779.0,1714053658631.0,1714053688988.0
18,18.0,1714053540802.0,1714053553939.0,1714053562579.0,1714053564807.0,1714053583001.0,18.0,1714053620428.0,1714053627246.0,1714053642053.0,1714053651357.0,1714053662258.0,1714053688988.0
19,19.0,1714053540802.0,1714053550112.0,1714053558971.0,1714053560682.0,1714053576817.0,19.0,1714053620428.0,1714053625397.0,1714053638600.0,1714053646030.0,1714053652464.0,1714053688988.0
20,20.0,1714053540802.0,1714053546752.0,1714053554889.0,1714053556174.0,1714053563349.0,20.0,1714053620428.0,1714053626453.0,1714053640383.0,1714053649366.0,1714053657594.0,1714053688988.0
21,21.0,1714053540802.0,1714053552794.0,1714053561735.0,1714053563849.0,1714053582059.0,21.0,1714053620428.0,1714053625305.0,1714053638860.0,1714053650022.0,1714053658933.0,1714053688988.0
22,22.0,1714053540802.0,1714053549908.0,1714053557221.0,1714053558760.0,1714053566955.0,22.0,1714053620428.0,1714053626841.0,1714053641516.0,1714053652063.0,1714053661320.0,1714053688988.0
23,23.0,1714053540802.0,1714053552582.0,1714053560571.0,1714053562443.0,1714053579597.0,23.0,1714053620428.0,1714053627960.0,1714053643335.0,1714053653171.0,1714053663239.0,1714053688988.0
24,24.0,1714053540802.0,1714053546641.0,1714053554160.0,1714053555356.0,1714053562565.0,24.0,1714053620428.0,1714053628617.0,1714053644030.0,1714053653362.0,1714053664271.0,1714053688988.0
25,25.0,1714053540802.0,1714053552031.0,1714053559969.0,1714053562091.0,1714053579239.0,25.0,1714053620428.0,1714053628681.0,1714053644022.0,1714053652001.0,1714053661128.0,1714053688988.0
26,26.0,1714053540802.0,1714053553384.0,1714053562095.0,1714053564298.0,1714053582502.0,26.0,1714053620428.0,1714053628107.0,1714053645299.0,1714053658477.0,1714053669014.0,1714053688988.0
27,27.0,1714053540802.0,1714053546863.0,1714053554777.0,1714053555997.0,1714053563234.0,27.0,1714053620428.0,1714053628886.0,1714053645873.0,1714053659312.0,1714053670129.0,1714053688988.0
28,28.0,1714053540802.0,1714053546903.0,1714053554530.0,1714053555883.0,1714053563062.0,28.0,1714053620428.0,1714053630485.0,1714053648257.0,1714053657088.0,1714053667861.0,1714053688988.0
29,29.0,1714053540802.0,1714053552259.0,1714053560323.0,1714053562144.0,1714053580306.0,29.0,1714053620428.0,1714053629541.0,1714053646527.0,1714053655859.0,1714053664107.0,1714053688988.0
30,30.0,1714053540802.0,1714053552952.0,1714053561327.0,1714053563404.0,1714053581585.0,30.0,1714053620428.0,1714053630165.0,1714053648609.0,1714053660466.0,1714053671516.0,1714053688988.0
31,31.0,1714053540802.0,1714053547135.0,1714053555870.0,1714053557394.0,1714053564535.0,31.0,1714053620428.0,1714053629058.0,1714053644728.0,1714053653080.0,1714053663075.0,1714053688988.0
32,32.0,1714053540802.0,1714053552655.0,1714053561718.0,1714053563849.0,1714053582125.0,32.0,1714053620428.0,1714053629298.0,1714053645276.0,1714053652037.0,1714053659328.0,1714053688988.0
33,33.0,1714053540802.0,1714053547073.0,1714053555957.0,1714053557418.0,1714053564561.0,33.0,1714053620428.0,1714053630191.0,1714053648007.0,1714053656844.0,1714053666912.0,1714053688988.0
34,34.0,1714053540802.0,1714053553452.0,1714053562169.0,1714053564199.0,1714053582397.0,34.0,1714053620428.0,1714053629600.0,1714053647860.0,1714053659214.0,1714053667282.0,1714053688988.0
35,35.0,1714053540802.0,1714053553142.0,1714053561853.0,1714053563929.0,1714053582077.0,35.0,1714053620428.0,1714053629919.0,1714053647020.0,1714053655185.0,1714053661687.0,1714053688988.0
36,36.0,1714053540802.0,1714053553177.0,1714053561538.0,1714053563544.0,1714053581747.0,36.0,1714053620428.0,1714053629209.0,1714053646306.0,1714053658124.0,1714053671106.0,1714053688988.0
37,37.0,1714053540802.0,1714053562070.0,1714053570038.0,1714053572347.0,1714053590496.0,37.0,1714053620428.0,1714053630317.0,1714053647779.0,1714053657526.0,1714053664814.0,1714053688988.0
38,38.0,1714053540802.0,1714053553745.0,1714053561456.0,1714053563586.0,1714053581718.0,38.0,1714053620428.0,1714053631680.0,1714053651552.0,1714053664091.0,1714053671081.0,1714053688988.0
39,39.0,1714053540802.0,1714053562140.0,1714053569769.0,1714053571767.0,1714053588935.0,39.0,1714053620428.0,1714053631295.0,1714053649765.0,1714053657792.0,1714053664708.0,1714053688988.0
40,40.0,1714053540802.0,1714053563171.0,1714053571500.0,1714053573665.0,1714053591854.0,40.0,1714053620428.0,1714053631148.0,1714053650203.0,1714053661753.0,1714053669765.0,1714053688988.0
41,41.0,1714053540802.0,1714053562483.0,1714053571177.0,1714053573753.0,1714053591873.0,41.0,1714053620428.0,1714053630699.0,1714053648068.0,1714053656490.0,1714053663005.0,1714053688988.0
42,42.0,1714053540802.0,1714053561714.0,1714053570521.0,1714053572765.0,1714053591047.0,42.0,1714053620428.0,1714053631147.0,1714053650938.0,1714053662216.0,1714053669964.0,1714053688988.0
43,43.0,1714053540802.0,1714053561080.0,1714053569215.0,1714053571258.0,1714053588421.0,43.0,1714053620428.0,1714053630857.0,1714053649423.0,1714053660982.0,1714053672349.0,1714053688988.0
44,44.0,1714053540802.0,1714053562477.0,1714053569782.0,1714053572134.0,1714053589263.0,44.0,1714053620428.0,1714053631812.0,1714053651605.0,1714053661575.0,1714053671079.0,1714053688988.0
45,45.0,1714053540802.0,1714053563218.0,1714053570710.0,1714053572964.0,1714053590151.0,45.0,1714053620428.0,1714053630683.0,1714053648396.0,1714053657858.0,1714053665186.0,1714053688988.0
46,46.0,1714053540802.0,1714053561737.0,1714053570504.0,1714053573146.0,1714053590298.0,46.0,1714053620428.0,1714053631432.0,1714053651048.0,1714053664611.0,1714053672453.0,1714053688988.0
47,47.0,1714053540802.0,1714053562624.0,1714053571195.0,1714053573597.0,1714053591757.0,47.0,1714053620428.0,1714053632035.0,1714053652211.0,1714053664006.0,1714053670548.0,1714053688988.0
48,48.0,1714053540802.0,1714053562345.0,1714053570450.0,1714053572839.0,1714053590003.0,48.0,1714053620428.0,1714053632839.0,1714053652240.0,1714053660024.0,1714053667895.0,1714053688988.0
49,49.0,1714053540802.0,1714053563434.0,1714053571081.0,1714053573367.0,1714053591656.0,49.0,1714053620428.0,1714053632972.0,1714053651391.0,1714053657966.0,1714053663239.0,1714053688988.0
50,50.0,1714053540802.0,1714053563547.0,1714053572384.0,1714053574703.0,1714053592876.0,50.0,1714053620428.0,1714053632560.0,1714053652861.0,1714053666061.0,1714053672240.0,1714053688988.0
51,51.0,1714053540802.0,1714053563505.0,1714053571523.0,1714053573886.0,1714053592054.0,51.0,1714053620428.0,1714053632176.0,1714053651924.0,1714053663125.0,1714053669405.0,1714053688988.0
52,52.0,1714053540802.0,1714053563215.0,1714053572299.0,1714053574659.0,1714053592790.0,52.0,1714053620428.0,1714053632331.0,1714053653954.0,1714053666426.0,1714053672146.0,1714053688988.0
53,53.0,1714053540802.0,1714053563341.0,1714053571964.0,1714053574408.0,1714053592548.0,53.0,1714053620428.0,1714053632830.0,1714053652712.0,1714053662292.0,1714053670436.0,1714053688988.0
54,54.0,1714053540802.0,1714053563524.0,1714053572017.0,1714053574308.0,1714053592482.0,54.0,1714053620428.0,1714053632170.0,1714053651441.0,1714053659693.0,1714053666865.0,1714053688988.0
55,55.0,1714053540802.0,1714053571641.0,1714053579680.0,1714053581778.0,1714053600941.0,55.0,1714053620428.0,1714053634181.0,1714053661514.0,1714053669591.0,1714053674313.0,1714053688988.0
56,56.0,1714053540802.0,1714053581176.0,1714053589465.0,1714053591768.0,1714053604250.0,56.0,1714053620428.0,1714053633650.0,1714053655739.0,1714053667538.0,1714053673189.0,1714053688988.0
57,57.0,1714053540802.0,1714053586914.0,1714053593797.0,1714053595661.0,1714053606119.0,57.0,1714053620428.0,1714053633943.0,1714053661696.0,1714053669779.0,1714053674370.0,1714053688988.0
58,58.0,1714053540802.0,1714053588348.0,1714053596052.0,1714053597964.0,1714053607168.0,58.0,1714053620428.0,1714053633455.0,1714053661636.0,1714053671047.0,1714053676809.0,1714053688988.0
59,59.0,1714053540802.0,1714053571370.0,1714053579152.0,1714053581173.0,1714053599340.0,59.0,1714053620428.0,1714053633813.0,1714053662524.0,1714053672716.0,1714053680742.0,1714053688988.0
60,60.0,1714053540802.0,1714053578284.0,1714053587851.0,1714053589881.0,1714053604295.0,60.0,1714053620428.0,1714053634349.0,1714053659780.0,1714053666290.0,1714053671331.0,1714053688988.0
61,61.0,1714053540802.0,1714053570454.0,1714053579114.0,1714053581475.0,1714053600622.0,61.0,1714053620428.0,1714053633650.0,1714053654112.0,1714053662883.0,1714053669342.0,1714053688988.0
62,62.0,1714053540802.0,1714053572348.0,1714053580880.0,1714053583138.0,1714053601312.0,62.0,1714053620428.0,1714053633139.0,1714053653778.0,1714053664587.0,1714053670409.0,1714053688988.0
63,63.0,1714053540802.0,1714053578070.0,1714053587118.0,1714053589536.0,1714053605178.0,63.0,1714053620428.0,1714053633287.0,1714053655502.0,1714053665069.0,1714053674392.0,1714053688988.0
64,64.0,1714053540802.0,1714053573170.0,1714053580881.0,1714053583172.0,1714053601334.0,64.0,1714053620428.0,1714053634063.0,1714053655584.0,1714053667161.0,1714053676656.0,1714053688988.0
65,65.0,1714053540802.0,1714053572417.0,1714053580308.0,1714053582721.0,1714053600880.0,65.0,1714053620428.0,1714053635971.0,1714053657903.0,1714053667362.0,1714053675440.0,1714053688988.0
66,66.0,1714053540802.0,1714053569571.0,1714053579134.0,1714053581526.0,1714053599703.0,66.0,1714053620428.0,1714053637192.0,1714053665884.0,1714053672292.0,1714053676644.0,1714053688988.0
67,67.0,1714053540802.0,1714053573314.0,1714053580936.0,1714053583267.0,1714053601438.0,67.0,1714053620428.0,1714053635809.0,1714053663354.0,1714053671095.0,1714053675734.0,1714053688988.0
68,68.0,1714053540802.0,1714053570909.0,1714053579385.0,1714053581559.0,1714053599729.0,68.0,1714053620428.0,1714053636732.0,1714053664221.0,1714053673312.0,1714053679364.0,1714053688988.0
69,69.0,1714053540802.0,1714053588350.0,1714053596561.0,1714053598501.0,1714053607788.0,69.0,1714053620428.0,1714053636582.0,1714053664412.0,1714053672581.0,1714053677417.0,1714053688988.0
70,70.0,1714053540802.0,1714053586958.0,1714053595623.0,1714053597492.0,1714053606724.0,70.0,1714053620428.0,1714053635974.0,1714053663849.0,1714053674118.0,1714053681083.0,1714053688988.0
71,71.0,1714053540802.0,1714053587645.0,1714053596554.0,1714053598392.0,1714053607544.0,71.0,1714053620428.0,1714053636377.0,1714053663240.0,1714053672654.0,1714053678103.0,1714053688988.0
72,72.0,1714053540802.0,1714053578299.0,1714053587277.0,1714053589382.0,1714053603803.0,72.0,1714053620428.0,1714053636245.0,1714053664422.0,1714053671934.0,1714053683082.0,1714053688988.0
73,73.0,1714053540802.0,1714053577617.0,1714053585345.0,1714053587656.0,1714053603007.0,73.0,1714053620428.0,1714053636125.0,1714053664222.0,1714053671709.0,1714053676816.0,1714053688988.0
74,74.0,1714053540802.0,1714053568832.0,1714053576819.0,1714053579012.0,1714053597188.0,74.0,1714053620428.0,1714053634742.0,1714053659165.0,1714053670023.0,1714053675445.0,1714053688988.0
75,75.0,1714053540802.0,1714053572508.0,1714053580895.0,1714053583195.0,1714053601446.0,75.0,1714053620428.0,1714053635281.0,1714053664917.0,1714053675563.0,1714053683158.0,1714053688988.0
76,76.0,1714053540802.0,1714053587268.0,1714053594826.0,1714053596671.0,1714053606887.0,76.0,1714053620428.0,1714053634686.0,1714053657596.0,1714053669706.0,1714053675612.0,1714053688988.0
77,77.0,1714053540802.0,1714053568032.0,1714053576968.0,1714053579017.0,1714053598183.0,77.0,1714053620428.0,1714053635691.0,1714053663889.0,1714053673686.0,1714053680705.0,1714053688988.0
78,78.0,1714053540802.0,1714053569592.0,1714053578302.0,1714053580554.0,1714053599716.0,78.0,1714053620428.0,1714053636946.0,1714053665585.0,1714053674260.0,1714053680399.0,1714053688988.0
79,79.0,1714053540802.0,1714053579186.0,1714053587627.0,1714053590159.0,1714053604848.0,79.0,1714053620428.0,1714053635530.0,1714053663980.0,1714053671626.0,1714053677006.0,1714053688988.0
80,80.0,1714053540802.0,1714053572657.0,1714053581362.0,1714053583656.0,1714053600773.0,80.0,1714053620428.0,1714053634511.0,1714053661913.0,1714053670111.0,1714053675222.0,1714053688988.0
81,81.0,1714053540802.0,1714053587759.0,1714053595794.0,1714053598365.0,1714053607647.0,81.0,1714053620428.0,1714053637347.0,1714053665292.0,1714053674904.0,1714053683540.0,1714053688988.0
82,82.0,1714053540802.0,1714053577498.0,1714053586476.0,1714053588542.0,1714053603841.0,82.0,1714053620428.0,1714053637037.0,1714053664103.0,1714053673026.0,1714053683215.0,1714053688988.0
83,83.0,1714053540802.0,1714053569579.0,1714053578024.0,1714053580169.0,1714053599342.0,83.0,1714053620428.0,1714053635308.0,1714053658579.0,1714053669612.0,1714053678218.0,1714053688988.0
