benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,8,108.93617463360135,1707994445.44,1707994447.79
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,0,86.8680005701982,1707994445.439,1707994448.386
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,4,83.66013228335659,1707994445.44,1707994448.5
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,5,73.647869620981,1707994445.439,1707994448.915
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,6,59.06783420986358,1707994445.439,1707994449.773
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,14,61.12703013734971,1707994445.44,1707994449.628
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,2,70.29104964729827,1707994445.44,1707994449.082
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,3,54.88850731465537,1707994445.44,1707994450.104
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,9,56.57458742388059,1707994445.44,1707994449.965
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,15,79.92507448254867,1707994445.44,1707994448.643
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,13,63.681592341947756,1707994445.44,1707994449.46
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,11,133.3333445919894,1707994445.44,1707994447.36
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,1,75.94185585556657,1707994445.44,1707994448.811
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,10,123.43297259784386,1707994445.439,1707994447.513
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,12,83.49641267907833,1707994445.44,1707994448.506
Pair,DragonflyList,pairs-16-run-1,32,2,16,true,1048576,268435456,0,7,66.61462511578159,1707994445.44,1707994449.283
Pair,DragonflyList,pairs-16-run-2,32,2,16,true,1048576,268435456,0,9,184.97108985365338,1707994458.911,1707994460.295
