benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,7,128.44958690657185,1707993661.081,1707993663.074
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,9,150.32297446736962,1707993661.081,1707993662.784
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,5,131.34940185565242,1707993661.08,1707993663.029
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,15,70.09857707455177,1707993661.081,1707993664.733
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,11,135.2350676048242,1707993661.08,1707993662.973
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,0,97.4495587713575,1707993661.08,1707993663.707
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,6,99.61089752908359,1707993661.081,1707993663.651
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,2,84.60013154780458,1707993661.081,1707993664.107
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,13,140.73666805645868,1707993661.081,1707993662.9
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,1,91.10319697233878,1707993661.08,1707993663.89
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,12,81.94622714407878,1707993661.081,1707993664.205
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,10,69.32033430248042,1707993661.08,1707993664.773
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,14,136.46054230054844,1707993661.08,1707993662.956
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,8,67.08595414665892,1707993661.081,1707993664.897
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,4,83.06294567622649,1707993661.081,1707993664.163
Pair,DragonflyStream,pairs-16-run-1,32,2,16,true,1048576,268435456,0,3,79.08557334107586,1707993661.081,1707993664.318
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,12,157.2481552216231,1707993673.2,1707993674.828
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,8,82.28865155175163,1707993673.198,1707993676.309
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,0,94.9554861209617,1707993673.198,1707993675.894
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,6,96.09609485765856,1707993673.2,1707993675.864
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,9,67.74278831124381,1707993673.199,1707993676.978
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,15,217.13313805526093,1707993673.199,1707993674.378
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,7,165.91054004658974,1707993673.199,1707993674.742
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,14,70.34899815712066,1707993673.2,1707993676.839
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,4,63.33498181512745,1707993673.198,1707993677.24
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,3,80.75709584817746,1707993673.198,1707993676.368
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,11,142.93689655709485,1707993673.198,1707993674.989
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,5,89.1054675697196,1707993673.2,1707993676.073
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,1,80.57916157109811,1707993673.198,1707993676.375
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,10,75.33843433087209,1707993673.198,1707993676.596
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,2,115.05617237801461,1707993673.199,1707993675.424
Pair,DragonflyStream,pairs-16-run-2,32,2,16,true,1048576,268435456,0,13,180.4087196335579,1707993673.198,1707993674.617
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,6,89.22969806351591,1707993685.384,1707993688.253
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,8,138.52813481073719,1707993685.384,1707993687.232
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,1,62.13592046032377,1707993685.383,1707993689.503
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,13,99.68847973980435,1707993685.384,1707993687.952
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,7,152.01900099784686,1707993685.384,1707993687.068
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,3,111.88810666479934,1707993685.383,1707993687.671
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,12,89.47920116694267,1707993685.383,1707993688.244
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,0,67.7966097585431,1707993685.384,1707993689.16
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,14,196.0183775816433,1707993685.383,1707993686.689
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,2,232.5159300881261,1707993685.384,1707993686.485
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,5,98.2348446839243,1707993685.384,1707993687.99
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,10,70.87486179709259,1707993685.384,1707993688.996
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,9,74.28903376196789,1707993685.384,1707993688.83
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,11,112.62648472731281,1707993685.384,1707993687.657
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,4,70.42641008848379,1707993685.383,1707993689.018
Pair,DragonflyStream,pairs-16-run-3,32,2,16,true,1048576,268435456,0,15,90.39547967805747,1707993685.384,1707993688.216
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,1,138.90396582089085,1707993697.606,1707993699.449
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,15,88.42832528035801,1707993697.607,1707993700.502
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,7,70.02187920786604,1707993697.606,1707993701.262
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,5,70.81604407320762,1707993697.606,1707993701.221
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,6,66.39004241328081,1707993697.607,1707993701.463
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,12,147.21103388518753,1707993697.606,1707993699.345
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,14,73.86036113468813,1707993697.607,1707993701.073
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,4,163.26532280480023,1707993697.607,1707993699.175
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,13,87.82161349918651,1707993697.606,1707993700.521
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,10,85.39026283541729,1707993697.607,1707993700.605
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,8,115.10791485369204,1707993697.607,1707993699.831
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,11,113.72722395743249,1707993697.606,1707993699.857
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,0,72.58293269052024,1707993697.607,1707993701.134
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,3,64.08010196079742,1707993697.607,1707993701.602
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,2,212.27199965205907,1707993697.607,1707993698.813
Pair,DragonflyStream,pairs-16-run-4,32,2,16,true,1048576,268435456,0,9,86.16627525413327,1707993697.607,1707993700.578
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,11,79.134469335869,1707993709.569,1707993712.804
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,8,84.23823531026973,1707993709.568,1707993712.607
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,12,80.32632478475186,1707993709.568,1707993712.755
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,10,115.47135729319957,1707993709.568,1707993711.785
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,2,69.84993251420559,1707993709.568,1707993713.233
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,13,162.127929460715,1707993709.569,1707993711.148
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,6,70.65967612582368,1707993709.568,1707993713.191
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,5,78.84200851683744,1707993709.569,1707993712.816
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,7,123.43298678719566,1707993709.568,1707993711.642
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,3,76.5779255058532,1707993709.569,1707993712.912
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,14,96.74981438311038,1707993709.568,1707993712.214
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,15,222.60872334298548,1707993709.568,1707993710.718
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,4,62.50000066938811,1707993709.569,1707993713.665
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,1,64.67913177807073,1707993709.568,1707993713.526
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,0,64.9251825824922,1707993709.567,1707993713.51
Pair,DragonflyStream,pairs-16-run-5,32,2,16,true,1048576,268435456,0,9,99.18636759251167,1707993709.568,1707993712.149
Pair,DragonflyStream,pairs-16-run-6,32,2,16,true,1048576,268435456,0,10,82.3151090063496,1707993722.3,1707993725.41
