benchmark,backend,burst_id,burst_size,groups,granularity,chunking,chunk_size,payload_size,group_id,worker_id,throughput,start,end
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,9,28.686687504336433,1707908625.689,1707908634.613
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,13,62.57638596604514,1707908625.688,1707908629.779
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,11,29.52369967562865,1707908625.688,1707908634.359
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,6,29.28726631515679,1707908625.689,1707908634.43
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,5,29.130632326867637,1707908625.689,1707908634.477
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,1,35.21804899149171,1707908625.688,1707908632.957
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,12,28.381374782852745,1707908625.688,1707908634.708
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,10,34.124233112602816,1707908625.689,1707908633.191
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,7,28.488760100287568,1707908625.688,1707908634.674
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,2,28.324850295926044,1707908625.689,1707908634.727
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,8,26.60016605071072,1707908625.688,1707908635.312
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,4,28.271672900349223,1707908625.689,1707908634.744
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,14,26.553262020434854,1707908625.689,1707908635.33
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,0,26.683343475359052,1707908625.689,1707908635.283
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,3,26.512012878948745,1707908625.689,1707908635.345
Pair,RedisStream,pairs-16-run-1,32,2,16,true,134217728,268435456,0,15,39.143729688168555,1707908625.689,1707908632.229
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,11,28.200043849268194,1707908643.383,1707908652.461
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,2,41.071714801042894,1707908643.383,1707908649.616
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,3,27.801910828553225,1707908643.383,1707908652.591
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,5,28.466585025160544,1707908643.383,1707908652.376
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,10,30.039896475643552,1707908643.383,1707908651.905
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,4,33.9027938009276,1707908643.383,1707908650.934
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,12,28.321716896520744,1707908643.383,1707908652.422
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,15,28.011816941806327,1707908643.383,1707908652.522
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,1,36.010689630331484,1707908643.383,1707908650.492
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,13,36.245220539711056,1707908643.383,1707908650.446
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,9,30.39657977203255,1707908643.383,1707908651.805
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,7,28.406569506067438,1707908643.384,1707908652.396
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,0,27.411928511188428,1707908643.384,1707908652.723
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,6,32.31507125907429,1707908643.383,1707908651.305
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,8,33.706385653147144,1707908643.383,1707908650.978
Pair,RedisStream,pairs-16-run-2,32,2,16,true,134217728,268435456,0,14,28.501446982034118,1707908643.383,1707908652.365
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,3,29.283916378843465,1707908660.852,1707908669.594
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,5,43.61901547628671,1707908660.853,1707908666.722
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,6,28.1845207045,1707908660.852,1707908669.935
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,4,31.904286471207808,1707908660.853,1707908668.877
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,1,34.844153497558636,1707908660.853,1707908668.2
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,14,28.587380833643927,1707908660.853,1707908669.808
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,12,34.78733538904427,1707908660.853,1707908668.212
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,2,27.09281370985789,1707908660.853,1707908670.302
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,15,28.221805446025936,1707908660.853,1707908669.924
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,8,27.406059073390196,1707908660.853,1707908670.194
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,11,29.160496493992213,1707908660.852,1707908669.631
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,10,27.78682278921373,1707908660.853,1707908670.066
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,9,27.45013946822226,1707908660.853,1707908670.179
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,13,30.537993933593757,1707908660.852,1707908669.235
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,7,27.144523396810754,1707908660.853,1707908670.284
Pair,RedisStream,pairs-16-run-3,32,2,16,true,134217728,268435456,0,0,32.90488443977073,1707908660.853,1707908668.633
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,1,28.206258340611413,1707908679.009,1707908688.085
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,2,35.30060627424192,1707908679.008,1707908686.26
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,9,28.05786913265966,1707908679.008,1707908688.132
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,4,31.821006534773133,1707908679.008,1707908687.053
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,12,29.273870368289767,1707908679.008,1707908687.753
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,5,44.14554214612654,1707908679.008,1707908684.807
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,10,43.33107656238827,1707908679.009,1707908684.917
Pair,RedisStream,pairs-16-run-4,32,2,16,true,134217728,268435456,0,11,28.324850295926044,1707908679.008,1707908688.046
